deflections, interceptions, name, sacks, tackles
0,0,C Wayne,0.000,2
0,0,D Adams,1.000,2
0,0,R Glasper,0.000,3
0,0,K Dickerson,0.000,2
0,0,R Mariuz,0.000,4
0,0,J Bradley,0.000,4
0,0,L Gordon,0.000,6
0,0,R Robinson,0.000,5
0,0,M Knowlton,0.000,14
0,0,Z Moreno,0.000,7
0,0,J Lumsden,0.000,1
0,0,C Printers,0.000,1
0,0,C Thompson,0.000,1
0,0,C Keith,0.000,1
0,0,N McKay Loescher,1.000,0
0,0,S Beveridge,0.000,1
0,0,D Taylor,1.000,3
0,0,R Drew,0.000,3
0,0,A Stewart,1.000,2
0,0,K Williams,0.000,2
0,0,D Sanchez,0.000,1
0,0,J Bowman,1.000,1
0,0,D Ferri,0.000,1
0,0,M Estelle,0.000,1
0,0,C Cox,0.000,4
0,0,T Hill,0.000,8
0,0,D Claybrooks,0.000,1
0,0,J Robertshaw,1.000,0
0,0,D Anderson,0.000,1
0,0,D Carpenter,0.000,1
0,0,C Bannister,0.000,1
0,0,M Robede,1.000,1
0,0,J Reynolds,0.000,1
0,0,R Lazeo,0.000,1
0,0,B Browner,0.000,1
0,0,R Chevrier,0.000,1
0,0,W Lysack,0.000,3
0,0,M Labinjo,0.000,3
0,0,E Freeman,1.000,3
0,0,J Armour,0.000,4
0,0,F Hunter,0.000,2
0,0,H Hodges,1.000,2
0,0,J Simpson,1.000,2
0,0,S James,0.000,3
0,0,B Smith,0.000,5
0,0,C Wake,0.000,3
0,0,A Hunt,0.000,3
0,0,R Phillips,0.000,3
0,0,C Coleman,0.000,2
0,0,B Johnson,0.000,2
0,0,O Floyd,0.000,1
0,0,T Williams,0.000,1
0,0,J Glatt,0.000,8
0,0,R Myles,1.000,7
0,0,D Marsh,0.000,7
0,0,B Miles,0.000,6
0,0,L Glover,0.000,6
0,0,K Banks,0.000,4
0,0,B Simpson,1.000,8
0,0,I Charlton,0.000,4
0,0,J Johnson,0.000,4
0,0,D Brown,1.000,4
0,0,C Hall,1.000,4
0,0,J Nugent,0.000,2
0,0,K Malveaux,0.000,2
0,0,R Bean,0.000,2
0,0,J Haywood,0.000,2
0,0,K Johnson,0.000,1
0,0,G Walls,0.000,1
0,0,R Donnelly,0.000,1
0,0,T Edwards,0.000,1
0,0,A Serna,0.000,1
0,0,S Schmidt,0.000,1
0,0,A Mayes,0.000,1
0,0,J Davis,0.000,1
0,0,W Pile,0.000,6
0,0,M OShea,1.000,5
0,0,W Middlebrooks,0.000,9
0,0,C Winters,0.000,7
