extra points, extra points attemped, field goals, field goals attemped, longest field goal, name
0,0,0,1,0,N Prefontaine
0,0,1,2,33,P McCallum
0,0,1,3,39,S Fleming
0,0,1,4,34,T Westwood
0,0,0,1,0,D Duval
0,0,3,3,45,L Congi
0,0,3,3,48,S Deangelis
0,0,3,3,25,N Setta
0,0,1,2,35,R Pikula
0,0,5,7,51,D Duval
0,0,5,6,48,P McCallum
0,0,3,3,42,S Fleming
0,0,1,1,12,N Setta
0,0,2,4,32,S Christie
0,0,2,3,39,L Congi
0,0,2,3,36,N Prefontaine
0,0,0,1,0,S Deangelis
0,0,2,2,32,T Westwood
0,0,1,2,18,S Fleming
0,0,1,1,14,L Congi
0,0,2,2,46,P McCallum
0,0,2,3,39,N Setta
0,0,2,2,27,D Duval
0,0,4,4,47,D Duval
0,0,1,1,42,T Westwood
0,0,1,1,14,P McCallum
0,0,4,4,42,N Setta
0,0,2,3,47,S Fleming
0,0,2,3,36,L Congi
0,0,3,3,28,S Deangelis
0,0,1,2,30,N Prefontaine
0,0,2,2,37,N Prefontaine
0,0,3,3,41,D Duval
0,0,2,3,29,T Westwood
0,0,6,7,52,N Setta
0,0,3,4,30,L Congi
0,0,2,3,44,S Fleming
0,0,2,3,30,S Deangelis
0,0,3,3,29,P McCallum
0,0,1,1,22,B Cahoon
0,0,1,4,38,D Duval
0,0,1,3,39,N Prefontaine
0,0,0,1,0,P McCallum
0,0,2,4,47,L Congi
0,0,0,1,0,N Setta
0,0,2,5,40,T Westwood
0,0,3,3,35,S Fleming
0,0,4,5,42,S Deangelis
0,0,0,1,0,D Duval
0,0,1,1,13,S Deangelis
0,0,2,3,30,N Prefontaine
0,0,1,2,26,L Congi
0,0,2,4,45,P McCallum
0,0,3,3,42,R Pikula
0,0,1,2,40,S Fleming
0,0,1,2,27,N Setta
0,0,1,1,29,M Calixte
0,0,1,1,28,P McCallum
0,0,3,4,46,L Congi
0,0,0,1,0,S Fleming
0,0,2,3,29,R Pikula
0,0,2,3,51,N Prefontaine
0,0,3,3,30,P McCallum
0,0,3,4,50,L Congi
0,0,1,2,29,R Pikula
0,0,3,3,44,N Prefontaine
0,0,2,2,33,S Deangelis
0,0,3,3,48,S Fleming
0,0,3,5,23,S Fleming
0,0,2,2,25,S Deangelis
0,0,2,4,13,N Prefontaine
0,0,2,3,36,N Setta
0,0,3,3,28,D Duval
0,0,2,2,31,P McCallum
0,0,2,2,12,T Westwood
0,0,0,1,0,S Fleming
0,0,3,3,33,S Deangelis
0,0,1,2,29,N Setta
0,0,4,6,23,T Westwood
0,0,5,5,46,P McCallum
0,0,5,5,51,N Setta
0,0,1,2,45,S Deangelis
0,0,1,1,25,L Congi
0,0,0,1,0,B Cahoon
0,0,4,4,44,S Fleming
0,0,3,3,47,N Prefontaine
0,0,0,2,0,T Westwood
0,0,3,5,37,S Fleming
0,0,1,1,48,N Prefontaine
0,0,1,2,37,L Congi
0,0,2,3,25,D Duval
0,0,2,2,22,T Westwood
0,0,3,4,42,N Setta
0,0,2,3,38,P McCallum
0,0,1,1,35,S Deangelis
0,0,1,1,10,R Pikula
0,0,2,2,44,B Anderson
0,0,1,2,31,N Prefontaine
0,0,0,1,0,S Fleming
0,0,1,2,17,D Duval
0,0,4,4,43,N Setta
0,0,6,8,42,L Congi
0,0,2,2,0,N Prefontaine
0,0,1,1,0,D Duval
0,0,3,4,37,S Fleming
0,0,3,3,45,N Setta
0,0,1,1,50,L Congi
0,0,1,2,43,S Deangelis
0,0,1,2,12,R Pikula
0,0,1,3,23,R Pikula
0,0,2,2,25,S Deangelis
0,0,3,2,0,D Duval
0,0,3,3,0,N Prefontaine
0,0,5,3,0,S Fleming
0,0,2,1,35,L Congi
0,0,2,2,0,N Setta
0,0,2,2,0,S Fleming
0,0,0,3,0,N Prefontaine
0,0,2,2,0,T Westwood
0,0,3,3,42,S Deangelis
0,0,4,4,42,D Duval
0,0,2,4,30,T Westwood
0,0,1,3,15,D Duval
0,0,1,2,15,L Congi
0,0,1,1,26,N Prefontaine
0,0,1,1,33,C Hardy
0,0,3,3,24,P McCallum
0,0,1,2,17,S Deangelis
0,0,4,5,53,N Setta
0,0,3,4,42,W Kean
0,0,6,8,49,L Congi
0,0,1,1,18,S Deangelis
0,0,3,4,33,T Westwood
0,0,2,2,43,D Duval
0,0,0,2,0,N Prefontaine
0,0,1,1,34,T Westwood
0,0,1,1,45,P McCallum
0,0,4,4,37,L Congi
0,0,4,3,45,L Congi
0,0,2,2,42,T Westwood
