completions, interceptions thrown, longest pass, name, passes, passing touchdowns, passing yards
15,2,37,C Streveler,28,3,178
0,0,0,A Ross,1,0,0
32,1,101,M Reilly,46,1,408
18,0,34,Z Collaros,25,1,203
22,1,46,R Ray,37,0,233
1,0,2,J Franklin,1,1,2
17,1,42,B Mitchell,36,1,297
25,1,76,J Masoli,36,0,344
20,0,35,J Jennings,24,2,183
25,1,57,D Willy,35,1,281
36,1,56,T Harris,26,2,345
22,1,24,B Bridge,13,0,145
10,2,46,Z Collaros,4,1,106
16,0,14,D Willy,25,1,111
22,0,39,C Streveler,28,3,246
3,0,53,B Bennett,4,0,71
1,0,26,D Adams,1,1,26
30,1,88,M Reilly,20,2,286
29,1,45,J Masoli,19,3,332
12,0,8,R Ray,17,0,74
8,0,15,J Franklin,13,0,65
20,0,59,B Mitchell,22,3,324
4,0,14,N Arbuckle,4,0,35
19,1,35,B Mitchell,35,2,251
13,1,56,T Harris,29,0,135
5,0,12,D Davis,7,1,41
31,1,37,J Masoli,41,1,369
17,0,15,C Streveler,30,0,146
0,0,0,A Harris,1,0,0
22,2,64,M Reilly,30,3,326
13,1,46,J Jennings,24,0,199
8,2,35,B Bridge,18,0,111
10,0,35,D Watford,22,1,108
8,0,79,D Willy,15,1,157
8,0,47,J Matthews,12,0,98
13,0,29,B Bridge,11,0,101
6,0,37,D Watford,3,0,47
43,1,30,J Masoli,23,0,333
30,0,65,J Matthews,18,1,280
28,0,47,T Harris,42,3,342
16,1,50,J Franklin,24,1,217
28,1,50,M Reilly,40,1,370
29,0,37,M Nichols,16,1,162
5,0,24,C Streveler,3,0,45
15,2,12,J Jennings,24,0,105
5,1,43,C Fajardo,6,0,68
14,2,15,T Harris,22,0,93
3,1,19,D Collins,7,0,41
0,0,0,D Davis,2,0,0
16,0,38,B Mitchell,21,1,166
8,0,30,N Arbuckle,14,1,84
21,1,43,M Reilly,36,2,258
26,1,37,J Franklin,36,0,296
28,1,38,T Lulay,41,1,326
17,3,42,M Nichols,28,0,214
20,1,23,J Masoli,28,0,184
17,0,37,B Bridge,22,1,165
2,0,8,D Watford,3,0,13
30,0,29,T Harris,44,1,363
19,0,78,T Lulay,32,2,325
21,1,27,J Franklin,36,0,151
27,0,24,M Nichols,19,2,245
34,1,40,B Mitchell,25,2,292
16,2,23,M Shiltz,25,1,160
3,0,7,D Willy,4,0,17
15,1,45,V Adams Jr,28,0,217
24,0,61,M Reilly,32,4,415
19,1,51,M Nichols,18,2,253
1,0,11,C Streveler,1,0,11
1,0,10,D Adams,1,0,10
20,3,46,J Franklin,31,0,236
26,1,50,J Masoli,38,1,352
23,0,50,T Harris,35,0,228
1,0,45,D Davis,1,0,45
19,0,17,B Bridge,29,0,147
0,0,0,D Watford,1,0,0
18,1,41,B Mitchell,24,3,187
25,1,48,M Bethel Thompson,37,4,302
27,1,43,T Harris,35,2,381
13,0,61,M Reilly,27,1,257
22,0,41,Z Collaros,34,1,261
11,4,31,J Manziel,20,0,104
1,0,3,V Adams Jr,5,0,3
17,2,48,J Masoli,26,2,300
3,0,41,D Evans,3,0,52
19,0,62,B Mitchell,31,1,370
0,0,0,N Arbuckle,1,0,0
25,1,48,T Lulay,39,1,281
29,1,39,T Lulay,16,1,239
40,2,51,M Reilly,25,2,302
1,0,16,D OBrien,1,0,16
13,0,34,M Nichols,24,2,180
17,0,37,J Masoli,27,1,251
44,1,27,T Harris,54,1,487
0,0,0,D Davis,1,0,0
16,0,27,J Manziel,26,0,168
23,1,72,M Nichols,35,2,291
4,0,12,C Streveler,5,0,36
29,0,59,T Harris,39,1,361
18,0,30,M Bethel Thompson,29,1,260
21,1,44,T Lulay,34,1,285
1,0,13,C Fajardo,1,0,13
33,1,40,M Reilly,42,3,424
14,1,40,A Pipkin,25,1,217
25,0,39,Z Collaros,34,0,270
22,1,45,B Mitchell,36,4,275
44,2,84,J Masoli,27,1,419
25,0,95,M Reilly,15,3,250
22,1,52,A Pipkin,32,0,303
26,0,64,M Bethel Thompson,37,1,296
25,0,68,B Mitchell,42,3,452
1,0,6,N Arbuckle,1,0,6
29,2,30,M Nichols,44,1,258
1,0,65,C Streveler,1,1,65
21,0,33,T Lulay,36,1,240
19,1,52,Z Collaros,32,1,215
25,1,31,T Harris,46,0,270
18,2,50,A Pipkin,27,0,242
18,1,39,Z Collaros,30,1,250
14,2,31,M Nichols,26,1,166
1,0,10,C Streveler,1,1,10
16,0,30,B Mitchell,30,1,255
2,0,19,N Arbuckle,3,0,17
19,1,45,M Reilly,28,1,250
26,1,56,J Masoli,35,3,385
14,1,25,M Bethel Thompson,29,0,163
1,0,3,J Franklin,1,1,3
9,0,33,T Lulay,15,1,108
10,0,13,J Jennings,12,1,68
21,2,22,T Harris,36,1,216
1,0,12,D Davis,3,0,12
27,1,31,M Bethel Thompson,42,2,295
18,0,78,J Masoli,25,4,307
10,3,38,M Nichols,20,0,165
10,2,40,C Streveler,20,1,160
13,1,32,Z Collaros,24,0,173
3,0,18,B Bridge,6,0,32
30,1,42,M Reilly,44,3,397
25,3,77,B Mitchell,46,4,491
0,0,0,R Maver,1,0,0
11,4,36,A Pipkin,22,0,95
19,1,18,J Jennings,30,1,180
1,0,41,T Lulay,2,0,41
23,2,19,J Masoli,37,0,210
17,1,99,B Mitchell,30,2,270
1,0,36,M Michel,1,0,36
10,2,0,Z Collaros,27,0,162
27,0,64,T Harris,34,2,334
0,0,0,D Davis,1,0,0
18,0,49,M Nichols,25,1,256
18,1,21,J Manziel,25,0,212
1,0,22,E Lewis,1,0,22
23,1,40,T Harris,30,1,313
27,1,39,M Reilly,41,1,276
32,1,56,M Bethel Thompson,44,0,321
14,2,43,Z Collaros,25,2,233
32,0,39,J Jennings,47,3,346
19,0,75,J Masoli,25,2,311
20,0,44,B Mitchell,34,2,307
2,0,0,N Arbuckle,2,0,2
31,1,34,M Bethel Thompson,45,0,273
18,0,38,J Masoli,26,3,189
1,0,16,D Evans,2,0,16
17,3,27,J Jennings,25,0,146
7,0,16,C Fajardo,12,1,69
17,2,26,M Reilly,31,0,164
3,1,12,D OBrien,4,0,28
16,1,0,M Nichols,20,0,179
9,0,47,J Manziel,16,2,138
29,1,26,Z Collaros,41,1,394
33,0,33,T Harris,45,3,349
27,0,21,M Nichols,36,3,265
0,0,0,C Streveler,1,0,0
14,0,40,J Jennings,24,1,199
9,0,26,J Franklin,14,2,103
11,4,21,M Bethel Thompson,18,1,97
18,1,52,J Manziel,29,0,250
20,3,39,B Mitchell,34,0,199
25,1,24,Z Collaros,38,0,259
13,3,71,M Reilly,27,0,222
22,1,43,J Franklin,37,2,292
21,2,48,J Masoli,30,4,338
10,0,72,M Nichols,18,1,155
3,1,31,C Streveler,5,1,47
1,0,20,A Harris,1,0,20
8,2,25,Z Collaros,19,0,69
7,0,18,B Bridge,12,0,59
31,0,75,M Reilly,38,1,369
21,1,61,T Harris,26,1,291
17,1,35,B Mitchell,38,2,215
14,1,55,T Lulay,26,0,193
1,0,3,C Fajardo,1,0,3
24,0,58,T Harris,32,1,341
23,1,43,J Masoli,34,3,332
14,2,65,T Lulay,21,4,251
18,0,51,M Reilly,28,1,268
26,2,69,J Franklin,37,0,277
23,1,22,J Manziel,30,1,220
18,1,27,B Mitchell,25,2,221
24,0,42,Z Collaros,35,0,352
24,0,60,M Nichols,33,2,358
22,0,65,B Mitchell,35,1,274
25,2,27,J Masoli,48,0,243
23,0,79,T Harris,30,3,267
1,0,55,D Davis,1,1,55
5,0,21,Z Collaros,8,0,52
4,0,16,B Bridge,9,0,44
9,2,44,T Lulay,20,1,94
5,0,34,J Jennings,8,0,61
7,0,42,J Manziel,14,1,139
1,0,61,E Lewis,1,1,61
5,0,13,A Pipkin,10,1,46
21,0,41,J Franklin,32,1,205
16,0,44,D Davis,23,1,220
5,1,16,D Collins,10,0,49
16,0,27,J Franklin,24,0,187
14,1,32,M Bethel Thompson,22,0,186
29,1,23,M Reilly,35,1,320
9,0,80,C Streveler,15,1,190
1,0,1,B Bennett,4,0,1
22,2,46,D Evans,37,2,315
8,0,75,A Pipkin,15,1,217
4,0,30,J Manziel,5,1,59
3,1,25,M Shiltz,5,0,34
16,0,40,J Jennings,21,0,140
10,2,35,T Lulay,16,0,111
1,0,7,G Peters,1,0,7
20,0,44,B Mitchell,32,1,278
14,0,44,J Masoli,19,3,259
3,0,37,D Evans,5,0,77
11,0,34,J Jennings,18,1,172
8,1,26,T Lulay,17,0,103
12,1,17,B Bridge,22,0,100
0,1,0,D Watford,1,0,0
16,0,26,M Nichols,22,1,169
0,0,0,C Streveler,2,0,0
29,0,50,T Harris,32,6,367
28,3,22,J Masoli,41,1,315
17,0,214,B Mitchell,31,3,214
15,0,27,M Nichols,32,0,156
0,0,0,C Streveler,1,0,0
24,2,38,B Mitchell,36,2,253
20,3,55,T Harris,38,1,288
