longest reception, name, receiving touchdowns, receiving yards, receptions
32,W Dressler,1,154,9
87,R Bagg,1,121,4
22,A Fantuz,2,80,8
57,C Getzlaf,0,65,3
43,P Rodriguez,1,54,2
4,J Clermont,0,4,1
6,W Cates,0,3,2
39,K Watkins,2,106,5
33,J Richardson,0,79,5
48,S Green,2,61,5
34,B Bratton,0,57,5
16,B Cahoon,0,48,5
8,A Cobourne,0,17,3
28,R Bryant,0,113,6
16,N Lewis,0,74,7
19,D Murphy,0,37,3
11,J Jackson,0,32,4
14,A Franklin,0,30,3
11,J Cornish,0,19,2
10,J Reynolds,0,10,1
9,R Cote,0,9,1
27,A Durie,0,58,3
47,B Rideau,0,54,2
15,J Copeland,0,40,4
7,D Webb,0,18,3
9,C Owens,0,9,1
12,R Christian,0,8,2
5,J Johnson,1,5,1
90,T Edwards,2,191,5
21,A Bowman,0,40,3
11,T Jeffers Harris,0,20,3
12,F Reid,0,17,3
15,C Watson,0,15,1
6,B Ralph,0,8,2
35,M McDaniel,1,108,7
15,A Bruce,0,44,3
16,C Bauman,0,24,3
12,D Stala,0,12,1
9,D Cobb,0,9,1
21,K Campbell,0,75,8
19,F Stamps,0,67,6
15,E Hill,0,55,6
11,K Peterson,0,29,3
7,C McCarty,0,13,2
21,D Armstrong,0,73,6
19,G Simon,0,59,4
41,P Jackson,0,58,4
12,E Arceneaux,0,26,3
3,J Robertson,0,2,3
60,T Jeffers Harris,2,152,7
29,A Bowman,0,76,5
18,F Reid,0,41,4
21,T Edwards,1,37,4
12,B Ralph,0,36,4
24,C Watson,0,24,1
27,J Webb,0,52,4
18,J Copeland,0,40,3
28,C Owens,0,30,2
14,A Durie,0,24,2
19,B Rideau,0,19,1
12,C Boyd,0,18,3
7,J Johnson,0,7,1
44,A Bruce,0,104,7
37,M McDaniel,0,86,6
35,D James,0,65,3
12,D Stala,0,53,7
33,M Thigpen,1,33,1
8,M Mann,0,15,2
15,N Lewis,1,68,5
14,P Sam,0,62,7
15,A Franklin,0,55,5
17,R Bryant,1,53,4
8,J Forzani,0,8,1
6,J Reynolds,0,6,1
5,D Murphy,0,5,1
98,G Simon,2,169,6
21,D Armstrong,0,76,6
22,E Arceneaux,0,39,3
16,O Wilson,0,22,2
7,J Jackson,0,7,1
4,J Robertson,0,4,1
23,P Rodriguez,1,58,5
24,A Fantuz,0,55,4
41,C Getzlaf,0,55,2
29,W Dressler,0,53,3
17,H Charles,0,17,1
6,W Cates,0,14,3
40,K Campbell,0,170,9
43,F Stamps,1,119,6
11,K Peterson,0,16,2
5,E Hill,0,9,3
9,C McCarty,0,9,1
9,A Whitlock,0,9,1
8,M Bertrand,0,8,1
29,K Watkins,1,52,3
18,J Richardson,0,51,5
29,A Cobourne,0,49,3
13,B Cahoon,0,46,5
20,B Bratton,1,20,1
12,K Carter,0,19,2
32,J Copeland,0,50,2
18,C Owens,0,35,3
18,J Webb,0,31,3
12,A Durie,0,29,3
12,R Christian,0,19,2
6,B Rideau,0,15,3
7,B Crawford,0,7,1
1,C Boyd,0,1,1
39,N Lewis,1,69,4
17,A Franklin,0,59,6
18,R Bryant,1,45,4
10,D Murphy,1,17,2
13,P Sam,0,13,1
5,J Reynolds,0,4,3
40,D Stala,0,124,9
19,M Mann,2,52,4
14,M McDaniel,0,49,5
12,A Bruce,0,41,4
25,D James,0,33,2
19,M Thigpen,0,31,3
4,C Bauman,0,4,1
2,D Cobb,1,2,1
21,T Edwards,0,90,7
28,T Jeffers Harris,0,56,5
10,A Hargreaves,0,20,2
10,F Reid,0,16,2
13,C Watson,0,13,1
8,B Ralph,0,8,1
0,J Oosterhuis,0,0,1
17,G Simon,0,77,5
14,E Arceneaux,0,50,5
23,D Armstrong,0,47,4
19,P Jackson,0,25,2
24,J Lee,0,24,1
14,J Robertson,1,20,2
10,O Wilson,0,10,1
48,S Green,0,107,8
18,B Bratton,0,45,5
13,A Cobourne,0,43,5
14,K Watkins,0,34,3
19,B Cahoon,0,30,3
14,J Richardson,0,16,3
8,K Carter,0,12,2
10,L Brodeur Jourdain,0,10,1
37,A Fantuz,1,58,2
31,C Getzlaf,0,51,3
24,R Bagg,0,43,4
28,P Rodriguez,0,28,1
13,W Dressler,0,21,2
20,W Cates,0,20,1
9,H Charles,0,9,1
8,J Clermont,0,8,1
42,F Stamps,0,213,12
30,K Campbell,0,56,4
16,A Whitlock,0,30,2
10,J Barnes,0,23,3
6,A Talbot,0,11,2
41,B Bratton,0,76,5
32,K Watkins,1,76,5
14,A Cobourne,0,46,5
10,J Richardson,0,42,6
20,B Cahoon,0,37,2
18,S Green,0,23,2
6,K Carter,1,10,3
33,D Stala,0,84,6
23,M McDaniel,0,75,5
23,D Cobb,0,64,5
16,A Bruce,1,22,2
15,D James,0,15,1
6,M Mann,0,11,2
14,A Durie,0,50,5
21,J Copeland,1,43,3
22,B Rideau,1,42,2
20,C Lucas,0,35,3
12,R Christian,0,31,3
9,J Johnson,0,9,1
7,C Owens,0,7,1
5,C Boyd,0,5,1
58,D Armstrong,0,72,2
28,E Arceneaux,0,71,5
20,O Wilson,0,57,6
16,J Lee,0,50,4
16,J Robertson,0,42,5
12,G Simon,0,20,2
9,J Jackson,0,18,2
46,T Jeffers Harris,1,97,3
39,T Edwards,0,65,3
18,B Ralph,0,47,3
26,A Bowman,0,41,3
12,F Reid,0,17,2
33,K Campbell,0,65,4
29,J Barnes,1,60,5
22,C McCarty,1,42,3
15,A Whitlock,0,26,3
20,F Stamps,0,22,2
11,A Nowacki,0,16,2
67,R Bryant,2,116,7
13,N Lewis,1,50,5
16,P Sam,0,46,4
15,D Murphy,0,25,2
20,J Cornish,0,20,1
14,J Reynolds,0,14,1
6,J Forzani,0,6,1
26,W Dressler,1,125,9
37,A Fantuz,0,68,3
25,R Bagg,0,61,3
33,C Getzlaf,0,56,4
34,P Rodriguez,0,44,3
51,K Watkins,0,118,7
47,A Cobourne,0,116,8
18,J Richardson,2,83,9
22,B Cahoon,0,45,4
17,S Green,1,33,3
55,B Rideau,0,96,4
16,J Copeland,0,31,2
21,C Lucas,0,21,1
11,A Durie,0,11,1
0,C Boyd,0,0,1
51,F Stamps,0,118,5
46,K Campbell,1,97,8
25,A Talbot,1,75,6
19,J Barnes,0,36,3
20,A Nowacki,0,30,2
4,M Bertrand,0,4,1
15,G Simon,0,40,4
30,P Jackson,0,34,2
14,D Armstrong,0,23,2
6,E Arceneaux,0,12,3
9,J Robertson,0,9,2
8,O Wilson,0,8,1
6,J Lee,0,6,1
2,D Duckett,0,2,1
35,A Fantuz,0,100,8
33,W Cates,0,75,5
33,R Bagg,0,53,4
20,W Dressler,0,20,1
12,C Getzlaf,0,17,2
5,P Rodriguez,0,5,1
36,A Bruce,2,272,16
18,D Stala,1,58,6
22,M Thigpen,0,30,2
14,M McDaniel,0,29,3
17,M Mann,0,24,2
10,D Cobb,0,12,2
64,N Lewis,0,160,10
38,K Rambo,1,86,6
19,R Bryant,0,54,5
8,J Reynolds,0,14,2
6,D Murphy,1,10,2
9,R Thelwell,0,9,1
4,A Franklin,0,7,2
61,T Edwards,1,162,6
17,A Bowman,0,55,6
9,B Ralph,0,18,2
67,S Green,0,85,3
42,K Watkins,1,72,4
14,J Richardson,1,65,7
12,B Cahoon,0,20,2
7,A Cobourne,0,7,1
7,T Maypray,0,7,1
27,W Dressler,1,169,13
20,A Fantuz,0,88,6
23,C Getzlaf,0,64,4
13,W Cates,1,59,8
32,P Rodriguez,0,32,1
21,R Bagg,0,25,2
8,J Clermont,0,8,1
45,J Barnes,1,82,5
24,F Stamps,0,70,7
15,A Nowacki,0,52,4
21,K Campbell,0,40,4
7,A Whitlock,0,13,2
5,C McCarty,0,10,2
10,A Talbot,0,10,1
36,B Rideau,0,78,3
13,J Copeland,0,66,6
19,C Owens,0,56,5
14,C Boyd,1,46,4
22,A Durie,0,22,1
8,R Christian,0,8,1
8,S Watt,0,8,1
5,J Johnson,0,5,1
3,M Bradwell,0,3,1
50,A Bruce,1,197,11
21,D Stala,1,59,4
34,A Nicolson,0,38,2
31,M Mann,0,35,2
14,M McDaniel,0,14,1
10,M Thigpen,0,10,1
10,D Cobb,0,9,2
9,M Carter,1,9,1
54,A Bowman,1,139,6
49,B Ralph,0,66,3
15,T Edwards,1,46,5
10,F Reid,0,35,4
14,A Hargreaves,0,32,3
15,C Davis,0,21,3
10,C Watson,0,10,1
26,P Jackson,0,67,5
31,E Arceneaux,0,64,5
19,G Simon,0,37,5
16,D Armstrong,0,25,2
9,O Wilson,0,9,1
1,Y Davis,0,1,1
48,K Rambo,1,77,3
14,N Lewis,0,44,5
18,R Thelwell,1,40,3
12,R Bryant,0,28,4
14,J Reynolds,0,16,2
7,A Franklin,0,14,3
11,R Cote,1,12,2
8,D Murphy,0,8,1
21,R Bagg,0,81,7
