longest rush, name, rushes, rushing touchdowns, rushing yards
53,W Cates,13,1,112
18,D Durant,5,1,52
15,W Dressler,1,0,15
9,A Cobourne,10,1,39
14,B Bratton,2,0,26
13,A Calvillo,2,0,18
3,R Santos,3,0,6
2,T Maypray,1,0,2
28,J Reynolds,17,1,116
14,H Burris,9,0,45
4,J Cornish,4,0,11
4,R Bryant,1,0,4
12,C Boyd,8,0,32
12,A Durie,1,0,12
6,C Lemon,3,0,11
50,F Reid,13,0,98
30,B Pierce,6,1,89
11,T Jeffers Harris,1,0,11
6,D Stephenson,3,0,10
2,S Jyles,2,1,3
18,Q Porter,3,0,40
8,D Cobb,7,0,22
22,K Glenn,2,0,22
8,M Thigpen,2,0,8
2,D James,1,0,2
23,A Whitlock,16,1,116
9,R Ray,2,0,17
4,C McCarty,2,0,6
61,J Robertson,11,1,168
6,C Printers,5,0,16
6,R Jordan,2,0,8
2,T Lulay,1,0,2
43,B Pierce,7,1,103
10,F Reid,7,0,27
10,T Edwards,1,0,10
4,S Jyles,3,0,7
23,C Boyd,19,1,109
9,C Lemon,3,1,22
3,A Durie,2,0,0
8,D Cobb,13,0,37
8,K Glenn,2,0,8
3,Q Porter,1,0,3
0,A Tafralis,1,0,0
24,J Reynolds,15,0,98
12,H Burris,11,0,36
3,D Murphy,1,0,3
2,J Cornish,1,0,2
14,J Robertson,10,0,54
13,R Jordan,1,0,13
9,P McCallum,1,0,9
8,C Printers,1,0,8
4,T Lulay,2,0,5
19,W Cates,16,1,93
20,H Charles,4,0,47
14,D Durant,4,1,33
13,W Dressler,3,0,15
30,A Whitlock,15,0,99
2,M Bertrand,1,0,2
2,C McCarty,1,0,2
11,A Cobourne,13,0,55
10,A Calvillo,2,0,13
2,R Santos,1,1,2
2,B Bratton,1,0,2
23,C Boyd,20,0,142
19,J Johnson,3,1,23
12,C Lemon,2,0,13
3,B Crawford,1,0,3
3,R Christian,1,0,3
14,J Reynolds,9,0,44
14,H Burris,3,0,20
7,J Cornish,1,0,7
16,D Cobb,11,1,53
10,K Glenn,3,0,19
8,M Thigpen,4,0,18
2,A Tafralis,3,0,5
33,F Reid,8,0,84
1,S Jyles,4,1,4
9,J Robertson,6,0,4
1,T Lulay,2,0,2
1,R Jordan,1,0,1
16,A Cobourne,13,0,79
9,A Calvillo,2,0,9
