kickoff yards, kickoffs, longest kickoffs, longest punt, name, punt yards, punts
0,0,0,53,L Hajrullahu,398,9
0,0,0,52,H ONeill,175,4
0,0,0,54,B Bede,185,4
0,0,0,75,R Leone,393,7
0,0,0,45,S Castillo,144,4
0,0,0,59,J Medlock,285,6
0,0,0,64,R Leone,304,6
0,0,0,58,H ONeill,199,4
0,0,0,51,S Castillo,129,3
0,0,0,43,D Brown,143,4
0,0,0,46,L Hajrullahu,121,3
0,0,0,50,J Medlock,393,9
0,0,0,52,H ONeill,310,7
0,0,0,48,L Hajrullahu,48,1
0,0,0,51,B Bede,337,8
0,0,0,40,S Castillo,149,4
0,0,0,46,B Bede,196,5
0,0,0,54,L Hajrullahu,240,6
0,0,0,59,R Leone,311,6
0,0,0,46,J Medlock,249,6
0,0,0,52,S Castillo,399,9
0,0,0,45,H ONeill,203,5
0,0,0,65,J Medlock,297,6
0,0,0,54,Z Medeiros,421,10
0,0,0,58,R Leone,283,5
0,0,0,50,B Bede,123,3
0,0,0,53,L Hajrullahu,316,7
0,0,0,54,Z Medeiros,252,7
0,0,0,50,J Medlock,354,8
0,0,0,75,R Leone,578,12
0,0,0,55,B Bede,381,8
0,0,0,51,H ONeill,230,5
0,0,0,54,R Leone,200,4
0,0,0,54,H ONeill,343,4
0,0,0,62,L Hajrullahu,432,9
0,0,0,71,J Medlock,370,8
0,0,0,56,J Medlock,310,7
0,0,0,52,L Hajrullahu,349,8
0,0,0,53,B Bede,424,9
0,0,0,59,R Leone,371,8
0,0,0,70,H ONeill,438,9
0,0,0,44,J Medlock,203,5
0,0,0,51,B Bede,227,5
0,0,0,47,S Whyte,245,6
0,0,0,64,R Leone,328,7
0,0,0,37,J Medlock,37,1
0,0,0,47,S Whyte,171,4
0,0,0,57,R Leone,479,11
0,0,0,52,L Hajrullahu,385,9
0,0,0,54,B Bede,306,7
0,0,0,45,S Whyte,127,3
0,0,0,51,J Medlock,210,5
0,0,0,65,R Leone,305,6
0,0,0,52,L Hajrullahu,299,7
0,0,0,57,B Bede,361,8
0,0,0,54,L Hajrullahu,187,4
0,0,0,49,S Whyte,274,6
0,0,0,50,B Bede,225,5
0,0,0,56,R Leone,229,5
0,0,0,45,S Whyte,323,8
0,0,0,60,R Leone,429,9
0,0,0,51,L Hajrullahu,127,3
0,0,0,50,B Bede,252,6
0,0,0,48,S Whyte,336,8
0,0,0,53,L Hajrullahu,297,7
0,0,0,52,B Bede,220,5
0,0,0,54,J Medlock,189,4
0,0,0,77,R Leone,365,7
0,0,0,55,J Medlock,304,7
0,0,0,48,L Hajrullahu,302,7
0,0,0,52,L Hajrullahu,202,5
0,0,0,67,H ONeill,342,8
0,0,0,61,B Bede,442,9
0,0,0,51,J Medlock,350,8
0,0,0,52,R Leone,263,6
0,0,0,48,J Medlock,178,4
0,0,0,55,B Bede,232,5
0,0,0,50,H ONeill,347,8
0,0,0,47,B Bede,243,6
0,0,0,51,L Hajrullahu,224,5
0,0,0,61,R Leone,460,9
0,0,0,51,J Medlock,136,3
0,0,0,68,J Medlock,306,6
0,0,0,52,B Bede,232,5
0,0,0,51,L Hajrullahu,177,4
0,0,0,52,R Leone,450,10
0,0,0,46,H ONeill,241,6
0,0,0,45,R Leone,153,4
0,0,0,48,B Bede,222,5
0,0,0,52,H ONeill,276,6
0,0,0,57,L Hajrullahu,201,5
0,0,0,49,B Bede,172,4
0,0,0,53,H ONeill,137,3
0,0,0,50,J Medlock,229,6
0,0,0,70,L Hajrullahu,275,6
0,0,0,48,H ONeill,188,5
0,0,0,60,J Medlock,361,8
0,0,0,45,J Medlock,133,3
0,0,0,46,L Hajrullahu,119,3
