at bats, average, batting order, doubles, hit by pitchers, hits, home runs, left on base, name, position, rbi, runs, sacrifice flies, strike outs, triples, walks
4,750,1,1,[],3,0,1,David Eckstein,SS,1,0,0,0,0,0
4,250,2,0,[],1,0,3,Preston Wilson,RF,0,0,0,2,0,0
2,0,3,0,[],0,0,0,Albert Pujols,1B,0,0,0,0,0,2
3,0,4,0,['Tom Glavine'],0,0,3,Scott Rolen,3B,0,0,0,0,0,0
4,500,5,0,[],2,0,3,Yadier Molina,C,0,0,0,0,0,0
3,333,6,0,[],1,0,1,Jim Edmonds,CF,0,0,0,1,0,0
1,0,,0,[],0,0,1,Scott Spiezio,PH,0,0,0,0,0,0
4,250,7,0,[],1,0,1,So Taguchi,LF,0,0,0,0,0,0
3,333,8,0,[],1,0,1,Adam Kennedy,2B,0,0,0,0,1,0
0,0,,0,[],0,0,0,Randy Flores,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Brad Thompson,RP,0,0,0,0,0,0
1,0,,0,[],0,0,2,Gary Bennett,PH,0,0,0,0,0,0
1,0,9,0,[],0,0,1,Chris Carpenter,SP,0,0,0,0,0,0
1,1000,,0,[],1,0,0,Skip Schumaker,PH,0,1,0,0,0,0
0,0,,0,[],0,0,0,Tyler Johnson,RP,0,0,0,0,0,0
1,0,,0,[],0,0,2,Aaron Miles,2B,0,0,0,0,0,1
4,250,1,0,[],1,0,1,Jose Reyes,SS,0,1,0,1,0,1
5,400,2,0,[],2,0,2,Paul Lo Duca,C,3,1,0,0,0,0
4,250,3,0,['Chris Carpenter'],1,0,1,Carlos Beltran,CF,1,1,0,0,0,0
5,200,4,1,[],1,0,3,Carlos Delgado,1B,2,0,0,1,0,0
4,250,5,0,[],1,0,1,David Wright,3B,0,0,0,0,0,0
4,250,6,0,[],1,0,1,Moises Alou,LF,0,0,0,1,0,0
4,500,7,0,[],2,0,1,Shawn Green,RF,0,1,0,0,0,0
0,0,,0,[],0,0,0,Endy Chavez,RF,0,0,0,0,0,0
4,250,8,0,[],1,0,3,Jose Valentin,2B,0,1,0,1,0,0
2,500,9,0,[],1,0,0,Tom Glavine,SP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Pedro Feliciano,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Joe Smith,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Aaron Heilman,RP,0,0,0,0,0,0
1,1000,,0,[],1,0,0,David Newhan,PH,0,1,0,0,0,0
0,0,,0,[],0,0,0,Billy Wagner,RP,0,0,0,0,0,0
3,333,1,0,[],1,0,1,Gary Matthews Jr,CF,0,1,0,1,0,1
4,250,2,0,[],1,0,2,Orlando Cabrera,SS,0,0,0,1,0,0
3,333,3,1,[],1,0,2,Vladimir Guerrero,RF,1,0,0,0,0,1
4,250,4,1,[],1,0,2,Garret Anderson,LF,0,1,0,1,0,0
4,250,5,0,[],1,0,1,Shea Hillenbrand,DH,1,0,0,0,0,0
3,667,6,0,[],2,1,1,Casey Kotchman,1B,1,1,0,1,0,1
4,0,7,0,[],0,0,2,Howie Kendrick,2B,0,0,0,2,0,0
3,333,8,0,[],1,0,0,Mike Napoli,C,0,1,0,2,0,0
3,333,9,0,[],1,0,0,Maicer Izturis,3B,1,0,0,0,0,0
3,333,1,0,[],1,0,0,Kenny Lofton,CF,0,0,0,1,0,1
3,0,2,0,[],0,0,1,Frank Catalanotto,DH,0,0,0,0,0,1
4,0,3,0,[],0,0,3,Michael Young,SS,0,0,0,0,0,0
3,333,4,0,[],1,0,1,Mark Teixeira,1B,0,0,0,1,0,1
3,0,5,0,[],0,0,2,Sammy Sosa,RF,0,0,0,1,0,1
4,500,6,1,[],2,0,3,Hank Blalock,3B,0,0,0,1,0,0
3,0,7,0,[],0,0,1,Brad Wilkerson,LF,0,0,0,1,0,1
4,0,8,0,[],0,0,3,Gerald Laird,C,0,0,0,2,0,0
4,250,9,0,[],1,1,2,Ian Kinsler,2B,1,1,0,1,0,0
4,250,1,0,[],1,0,3,Craig Biggio,2B,0,0,0,0,0,0
0,0,,0,[],0,0,0,Brad Lidge,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Chad Qualls,RP,0,0,0,0,0,0
4,250,2,1,[],1,0,1,Adam Everett,SS,0,0,0,0,0,0
3,333,3,0,[],1,0,1,Lance Berkman,1B,0,0,0,0,0,1
4,0,4,0,[],0,0,3,Carlos Lee,LF,0,0,0,0,0,0
4,250,5,0,[],1,0,1,Morgan Ensberg,3B,0,1,0,0,0,0
4,500,6,0,[],2,1,0,Luke Scott,RF,2,1,0,0,0,0
4,500,7,2,[],2,0,0,Chris Burke,CF,0,0,0,1,0,0
3,0,8,0,['Zach Duke'],0,0,1,Brad Ausmus,C,0,0,0,0,0,0
2,500,9,0,[],1,0,2,Roy Oswalt,SP,0,0,0,0,0,0
