batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
25,1,1.500,3,9,[],5,0,6.000,Randy Johnson,1,95,W,1,6,60,2
6,0,0.000,1,2,[],0,0,2.000,Tanyon Sturtze,2,25,,0,3,14,0
5,1,9.000,2,0,[],1,0,1.000,Tom Gordon,3,25,,1,1,16,1
26,4,8.310,5,4,['Jason Giambi', 'Jason Giambi'],10,0,4.333,David Wells,1,80,L,4,4,52,1
1,0,0.000,0,2,[],0,0,0.667,Mike Myers,2,2,,0,0,1,0
3,1,27.000,1,0,[],1,0,0.333,Blaine Neal,3,10,,2,0,5,1
4,0,0.000,2,0,[],1,0,0.667,Alan Embree,4,16,,0,0,7,1
4,0,0.000,1,1,[],1,0,1.000,Mike Timlin,5,25,,0,1,15,0
6,2,27.000,1,0,[],1,1,0.667,Matt Mantei,6,29,,3,1,13,3
3,0,0.000,0,1,[],1,0,0.333,John Halama,7,8,,0,0,5,0
27,3,3.680,10,8,[],5,2,7.333,Dewon Brazelton,1,81,L,3,4,55,0
7,2,10.800,3,1,[],2,1,1.667,Jesus Colome,2,28,,2,1,17,0
29,2,2.570,5,9,[],9,0,7.000,Roy Halladay,1,87,W,2,7,64,0
2,0,0.000,0,1,[],0,0,0.667,Scott Schoeneweis,2,9,H,0,1,5,0
5,0,0.000,1,3,[],1,0,1.333,Miguel Batista,3,13,S,0,0,10,0
15,7,37.800,2,1,[],10,0,1.667,Javier Vazquez,1,42,L,7,2,30,0
4,0,0.000,0,2,[],0,0,1.333,Brian Bruney,2,16,,0,2,11,0
5,1,9.000,0,2,[],3,0,1.000,Mike Gosling,3,19,,1,1,11,0
9,4,36.000,1,1,[],4,1,1.000,Greg Aquino,4,29,,4,1,14,2
18,2,4.500,5,5,[],6,1,4.000,Brad Halsey,5,52,,4,2,40,0
24,3,5.790,2,4,[],7,1,4.667,Carlos Zambrano,1,106,,3,8,57,4
12,2,7.710,5,1,[],2,0,2.333,Glendon Rusch,2,48,W,2,1,26,3
3,0,0.000,1,1,[],0,0,1.000,Cliff Bartosh,3,14,,0,1,9,0
6,1,9.000,1,1,[],3,0,1.000,Todd Wellemeyer,4,18,,1,1,12,0
24,0,0.000,7,6,['Jacque Jones'],5,0,5.667,Jamie Moyer,1,95,W,1,4,57,0
5,0,0.000,3,2,[],0,0,1.667,Julio Mateo,2,17,,0,0,14,0
2,0,0.000,1,0,[],0,0,0.667,Ron Villone,3,11,,0,1,9,0
3,0,0.000,1,0,[],0,0,1.000,Eddie Guardado,4,13,,0,2,10,0
26,4,5.140,9,6,[],5,2,7.000,Brad Radke,1,89,L,5,5,65,0
3,0,0.000,2,1,[],0,0,1.000,Terry Mulholland,2,8,,0,0,4,0
27,0,0.000,10,6,[],7,0,6.000,Rodrigo Lopez,1,103,W,0,2,71,1
4,0,0.000,2,1,[],1,0,1.000,Steve Kline,2,16,,0,0,10,0
3,0,0.000,1,1,[],0,0,1.000,Jorge Julio,3,11,,0,1,9,0
3,0,0.000,0,2,[],0,0,1.000,BJ Ryan,4,18,,0,1,13,0
27,4,6.000,10,4,[],6,1,6.000,Barry Zito,1,101,L,4,3,60,3
3,0,0.000,1,2,[],1,0,1.000,Justin Duchscherer,2,11,,0,0,7,0
5,0,0.000,2,0,[],0,0,1.000,Kiko Calero,3,21,,0,1,13,1
27,3,4.760,6,8,[],10,1,5.667,Jon Lieber,1,99,W,3,2,69,1
5,1,13.500,0,0,[],2,0,0.667,Rheal Cormier,2,21,H,1,2,11,1
2,0,0.000,0,2,[],0,0,0.667,Ryan Madson,3,14,H,0,0,7,1
4,0,0.000,0,1,[],1,0,1.000,Tim Worrell,4,15,,0,2,10,0
3,0,0.000,1,2,[],0,0,1.000,Billy Wagner,5,14,,0,0,7,0
24,7,13.500,6,4,[],8,1,4.667,Livan Hernandez,1,92,L,7,4,57,2
1,0,0.000,0,0,[],1,0,0.333,TJ Tucker,2,3,,0,0,2,0
6,0,0.000,1,1,[],2,0,1.000,Joe Horgan,3,19,,0,1,11,1
7,1,9.000,3,0,[],2,0,1.000,Antonio Osuna,4,27,,1,0,16,2
4,0,0.000,0,1,['Jim Thome'],1,0,0.333,Joey Eischen,5,21,,0,0,10,1
1,0,0.000,2,0,[],0,0,0.667,Luis Ayala,6,1,,0,0,1,0
24,6,10.800,6,3,['Brady Clark'],5,1,5.000,Oliver Perez,1,109,L,6,6,77,3
7,2,18.000,0,1,[],3,0,1.000,Rick White,2,92,,3,1,58,1
10,0,0.000,5,3,[],1,0,3.000,Ryan Vogelsong,3,45,,0,1,31,0
29,2,2.570,13,2,[],8,0,7.000,Ben Sheets,1,109,W,2,6,77,0
4,0,0.000,1,1,[],1,0,1.000,Tommy Phelps,2,19,,0,1,12,0
3,0,0.000,2,1,[],0,0,1.000,Matt Wise,3,9,,0,0,7,0
27,3,4.500,5,11,['Doug Mientkiewicz'],8,2,6.000,Paul Wilson,1,89,,3,2,56,2
4,2,27.000,0,1,[],3,0,0.667,David Weathers,2,11,,2,0,6,0
3,1,27.000,1,0,[],2,1,0.333,Kent Mercker,3,10,,1,0,7,0
4,0,0.000,0,2,[],1,0,1.000,Ryan Wagner,4,15,,0,1,10,0
3,0,0.000,2,1,[],0,0,1.000,Danny Graves,5,5,W,0,0,4,0
22,3,4.500,3,3,[],3,1,6.000,Pedro Martinez,1,103,,3,12,65,2
5,1,9.000,1,0,[],2,0,1.000,Manny Aybar,2,15,,1,2,11,0
3,0,0.000,0,1,[],0,0,1.000,Dae Sung Koo,3,15,,0,2,11,0
3,3,9999.000,0,0,[],3,2,0.000,Braden Looper,4,14,L,3,0,9,0
25,6,10.800,4,4,[],7,3,5.000,Joe Kennedy,1,91,,6,7,51,4
3,2,54.000,0,1,[],2,0,0.333,Javier Lopez,2,10,BS,2,0,6,0
3,0,0.000,1,1,[],1,0,0.667,Allan Simpson,3,9,,0,0,6,0
6,2,18.000,1,0,[],2,2,1.000,Scott Dohmann,4,26,,2,2,17,1
7,0,0.000,3,0,[],0,0,1.333,Brian Fuentes,5,33,,0,1,19,2
3,0,0.000,1,1,[],0,0,0.667,Ryan Speier,6,13,W,0,0,5,1
20,6,16.200,5,5,[],9,2,3.333,Woody Williams,1,74,,6,0,46,1
7,1,5.400,1,2,[],2,0,1.667,Dennys Reyes,2,28,,1,2,20,0
