assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
7,3,3,14,5,2,15,14,42,Kobe Bryant,1,,25,G,4,1,2,1,4
0,0,1,1,0,2,0,0,6,Kareem Rush,0,,0,,1,0,1,0,0
,,,,,,,,0,Luke Walton,,,,,,,,,
3,2,2,10,5,1,0,0,26,Brian Cook,0,,10,,2,0,2,0,0
2,0,6,5,2,2,2,2,35,Chucky Atkins,0,,8,G,6,0,5,2,1
2,0,3,7,5,3,0,0,28,Caron Butler,1,,11,F,4,2,2,1,1
3,1,10,8,2,3,3,1,25,Lamar Odom,3,,5,F,13,4,2,0,2
1,2,7,16,8,3,10,7,35,Chris Mihm,5,,23,C,12,0,0,0,4
1,0,3,4,1,3,0,0,20,Jumaine Jones,0,,3,,3,1,3,1,3
4,0,1,4,1,2,0,0,13,Tierre Brown,0,,2,,1,0,0,0,2
0,1,1,1,1,1,0,0,10,Brian Grant,0,,2,,1,0,0,0,2
,,,,,,,,0,Sasha Vujacic,,,,,,,,,
0,0,1,6,1,1,0,0,10,Rodney White,0,,2,,1,0,1,0,3
1,6,14,8,4,2,2,0,36,Marcus Camby,2,,8,C,16,1,0,0,2
1,0,1,9,4,1,5,3,24,Voshon Lenard,0,,13,G,1,0,6,2,1
3,0,2,13,4,0,2,2,34,Andre Miller,2,,10,G,4,0,0,0,1
4,0,1,22,9,4,3,2,39,Carmelo Anthony,4,,20,F,5,2,1,0,2
2,0,0,9,1,0,1,1,18,Earl Boykins,0,,3,,0,1,2,0,0
0,0,5,1,0,1,0,0,8,Francisco Elson,0,,0,,5,1,0,0,1
0,0,4,4,1,3,0,0,18,Nene,2,,2,,6,1,0,0,4
5,2,4,8,4,5,6,5,33,Kenyon Martin,3,,13,F,7,4,0,0,0
1,0,0,5,0,4,2,2,16,Greg Buckner,3,,2,,3,0,1,0,1
0,0,0,3,2,0,0,0,4,Dermarr Johnson,0,,5,,0,0,1,1,1
,,,,,,,,0,Bryon Russell,,,,,,,,,
3,1,6,12,7,2,2,2,36,Michael Finley,0,,18,G,6,1,4,2,4
5,2,9,19,12,3,8,7,43,Dirk Nowitzki,1,,33,F,10,2,2,2,3
0,0,0,0,0,1,0,0,1,Shawn Bradley,0,,0,,0,0,0,0,0
4,0,2,4,2,3,3,2,19,Josh Howard,0,,6,F,2,1,0,0,2
1,0,2,6,4,3,0,0,19,Marquis Daniels,3,,8,,5,1,1,0,1
7,0,0,7,2,3,2,2,30,Devin Harris,1,,8,G,1,2,5,2,1
1,2,4,8,3,3,6,5,34,Erick Dampier,1,,11,C,5,2,0,0,1
2,0,3,11,3,3,2,2,22,Jerry Stackhouse,1,,8,,4,1,0,0,1
2,0,1,10,4,1,0,0,18,Jason Terry,1,,9,,2,1,4,1,0
2,3,3,4,3,1,0,0,18,Alan Henderson,5,,6,,8,0,0,0,1
,,,,,,,,0,Calvin Booth,,,,,,,,,
,,,,,,,,0,DJ Ilunga Mbenga,,,,,,,,,
3,0,1,12,4,3,3,3,20,Bobby Jackson,3,,11,,4,2,4,0,1
3,1,3,15,3,1,6,6,39,Peja Stojakovic,2,,12,F,5,2,7,0,3
1,0,7,17,10,2,5,1,35,Chris Webber,3,,21,F,10,0,0,0,3
,,,,,,,,0,Doug Christie,,,,,,,,,
6,1,4,8,2,2,4,3,28,Mike Bibby,1,,8,G,5,1,2,1,3
1,2,2,14,8,5,8,8,38,Brad Miller,4,,24,C,6,3,0,0,1
1,0,1,4,1,0,0,0,13,Darius Songaila,0,,2,,1,0,0,0,0
2,1,1,4,1,2,0,0,21,Maurice Evans,1,,2,G,2,0,1,0,1
4,1,5,11,7,2,2,1,30,Matt Barnes,4,,17,,9,1,3,2,2
0,0,1,1,0,1,0,0,10,Greg Ostertag,0,,0,,1,0,0,0,0
0,0,0,1,0,1,2,1,6,Kevin Martin,0,,1,,0,0,0,0,1
,,,,,,,,0,Erik Daniels,,,,,,,,,
8,0,2,16,5,4,6,5,42,Richard Hamilton,2,,15,G,4,0,1,0,3
5,0,7,12,6,1,2,2,38,Chauncey Billups,0,,17,G,7,3,6,3,3
4,3,7,8,6,3,7,3,38,Ben Wallace,3,,15,C,10,3,0,0,0
2,0,3,7,3,1,4,3,32,Tayshaun Prince,1,,10,F,4,1,2,1,2
0,0,2,3,0,2,2,1,14,Elden Campbell,3,,1,,5,0,0,0,2
,,,,,,,,0,Darko Milicic,,,,,,,,,
1,0,1,3,1,1,0,0,11,Lindsey Hunter,1,,2,,2,0,1,0,0
0,0,0,1,0,0,0,0,8,Darvin Ham,2,,0,,2,0,0,0,0
0,2,5,19,10,4,2,2,35,Rasheed Wallace,1,,24,F,6,1,7,2,0
0,0,1,1,0,3,0,0,13,Carlos Delfino,0,,0,,1,0,1,0,1
0,0,1,2,1,3,2,1,9,Antonio McDyess,0,,3,,1,1,0,0,1
,,,,,,,,0,Derrick Coleman,,,,,,,,,
0,0,2,4,3,2,0,0,20,Bostjan Nachbar,1,,8,,3,0,2,2,0
0,1,8,9,2,4,6,3,32,Yao Ming,2,,7,C,10,0,0,0,3
1,1,4,11,5,4,2,2,29,Maurice Taylor,2,,12,F,6,1,1,0,1
1,1,7,10,3,3,3,3,39,Jim Jackson,0,,10,F,7,0,4,1,2
,,,,,,,,0,Scott Padgett,,,,,,,,,
0,0,1,0,0,0,0,0,1,Clarence Weatherspoon,0,,0,,1,0,0,0,0
1,1,2,18,6,5,5,4,35,Tracy McGrady,0,,18,G,2,2,4,2,3
1,0,1,5,4,2,4,4,30,Charlie Ward,1,,13,G,2,1,2,1,4
1,0,1,6,1,2,0,0,20,Juwan Howard,1,,2,,2,0,0,0,1
3,0,0,5,2,2,0,0,19,Tyronn Lue,0,,4,,0,0,0,0,1
0,1,1,3,2,0,2,1,14,Dikembe Mutombo,2,,5,,3,0,0,0,1
0,0,0,0,0,0,0,0,1,Ryan Bowen,0,,0,,0,0,0,0,0
1,2,13,24,12,5,12,11,47,Zydrunas Ilgauskas,5,,35,C,18,0,0,0,2
8,3,4,19,8,2,12,10,50,Lebron James,1,,28,F,5,1,5,2,6
0,0,1,2,1,0,1,0,9,Ira Newble,0,,2,,1,0,0,0,1
5,0,2,14,3,3,4,1,48,Jeff McInnis,0,,7,G,2,0,1,0,1
1,0,2,4,1,1,0,0,24,Lucious Harris,0,,2,G,2,1,1,0,1
0,0,5,6,2,2,0,0,25,Drew Gooden,1,,4,F,6,0,0,0,0
5,0,2,7,3,3,0,0,35,Eric Snow,0,,6,,2,0,0,0,2
1,3,4,5,4,3,3,3,31,Robert Traylor,3,,11,,7,1,0,0,1
0,0,1,3,2,3,0,0,12,Aleksandar Pavlovic,0,,5,,1,0,1,1,0
2,0,0,3,1,2,2,2,9,Scott Williams,1,,4,,1,0,0,0,0
,,,,,,,,0,Luke Jackson,,,,,,,,,
,,,,,,,,0,Anderson Varejao,,,,,,,,,
2,1,7,29,14,5,5,3,50,Ron Artest,2,,31,F,9,2,3,0,1
,,,,,,,,0,Jermaine ONeal,,,,,,,,,
1,0,2,8,5,2,0,0,16,Jonathan Bender,1,,11,,3,0,2,1,1
1,0,2,5,3,1,3,3,27,Fred Jones,0,,9,,2,0,1,0,2
14,0,7,13,5,4,4,4,45,Jamaal Tinsley,0,,15,G,7,3,2,1,1
1,1,3,12,6,5,6,6,43,Austin Croshere,2,,20,F,5,1,6,2,3
1,3,5,9,5,3,3,0,44,Scot Pollard,5,,10,C,10,1,0,0,0
,,,,,,,,0,James Jones,,,,,,,,,
3,0,9,12,3,3,5,3,43,Stephen Jackson,1,,9,G,10,0,3,0,3
1,0,1,3,2,2,0,0,14,Eddie Gill,0,,4,,1,1,0,0,1
0,0,0,2,0,3,0,0,8,David Harrison,0,,0,,0,1,0,0,1
,,,,,,,,0,John Edwards,,,,,,,,,
8,0,12,23,10,2,18,14,41,Paul Pierce,1,,35,G,13,2,6,1,5
0,0,0,7,4,0,0,0,16,Walter McCarty,1,,10,,1,1,4,2,0
2,1,5,10,5,5,4,2,39,Mark Blount,3,,12,C,8,0,0,0,1
2,2,2,6,4,3,0,0,26,Raef Lafrentz,2,,8,F,4,1,0,0,1
1,0,0,1,0,0,0,0,6,Marcus Banks,0,,0,,0,1,0,0,0
1,0,2,5,1,1,4,4,23,Jiri Welsch,0,,6,,2,2,3,0,1
,,,,,,,,0,Kendrick Perkins,,,,,,,,,
1,0,2,9,5,5,3,3,41,Ricky Davis,2,,14,F,4,1,2,1,3
8,0,2,4,2,5,1,1,28,Gary Payton,0,,6,G,2,1,2,1,4
0,0,0,3,1,3,0,0,11,Tom Gugliotta,0,,2,,0,0,0,0,3
0,0,0,1,1,1,2,0,6,Tony Allen,1,,2,,1,0,0,0,1
0,0,0,0,0,2,0,0,3,Al Jefferson,0,,0,,0,0,0,0,0
6,0,2,22,13,1,5,1,43,Allen Iverson,0,,30,G,2,2,9,3,3
4,0,2,2,0,3,0,0,16,Aaron McKie,0,,0,G,2,0,1,0,0
0,0,0,1,1,1,0,0,4,Brian Skinner,1,,2,,1,0,0,0,1
2,1,5,14,4,4,4,4,37,Kenny Thomas,5,,12,F,10,0,2,0,2
0,0,2,8,5,1,5,5,20,Marc Jackson,2,,15,C,4,0,0,0,1
2,0,3,11,4,1,4,2,34,Willie Green,2,,11,,5,1,2,1,3
2,1,3,8,4,5,1,0,24,Kyle Korver,1,,12,,4,1,8,4,1
0,0,7,4,1,5,0,0,24,Samuel Dalembert,3,,2,,10,1,0,0,2
1,0,0,5,3,3,1,1,20,Andre Iguodala,0,,8,F,0,1,1,1,2
2,0,1,5,1,1,4,4,11,Corliss Williamson,0,,6,,1,3,0,0,0
1,0,2,1,0,1,0,0,6,Kedrick Brown,0,,0,,2,0,1,0,1
0,0,0,0,0,0,0,0,1,Josh Davis,0,,0,,0,0,0,0,0
6,0,3,14,5,2,10,7,39,Corey Maggette,1,,18,G,4,2,4,1,2
5,1,6,15,10,3,3,1,39,Elton Brand,1,,21,F,7,2,0,0,0
2,0,7,8,4,5,10,7,29,Chris Wilcox,0,,15,C,7,1,0,0,2
4,0,3,6,4,1,2,0,30,Marko Jaric,0,,10,G,3,0,2,2,2
6,0,3,15,13,1,4,4,35,Bobby Simmons,3,,30,F,6,0,0,0,0
4,0,0,4,3,1,0,0,26,Rick Brunson,2,,8,,2,1,3,2,0
1,2,1,3,2,4,2,2,18,Mikki Moore,0,,6,,1,0,0,0,1
3,0,5,3,3,2,0,0,16,Shaun Livingston,0,,6,,5,0,0,0,1
0,2,0,1,0,0,0,0,3,Zeljko Rebraca,0,,0,,0,0,0,0,0
2,0,2,0,0,1,0,0,3,Lionel Chalmers,0,,0,,2,0,0,0,0
0,0,1,1,0,1,0,0,2,Mamadou Ndiaye,0,,0,,1,0,0,0,0
,,,,,,,,0,Quinton Ross,,,,,,,,,
1,0,3,15,8,3,5,4,32,Rashard Lewis,2,,24,F,5,0,6,4,3
0,0,3,2,1,3,0,0,17,Reggie Evans,3,,2,F,6,0,1,0,1
2,0,3,11,7,4,3,3,30,Vladimir Radmanovic,1,,20,,4,0,5,3,0
0,1,2,7,3,6,0,0,24,Jerome James,2,,6,C,4,0,0,0,0
5,0,3,18,7,2,4,4,38,Ray Allen,2,,20,G,5,1,4,2,3
2,0,0,1,0,1,0,0,8,Ronald Murray,0,,0,,0,0,0,0,1
2,0,0,8,0,1,2,2,28,Luke Ridnour,0,,2,G,0,2,0,0,1
1,0,2,12,2,0,4,1,26,Antonio Daniels,2,,5,,4,1,5,0,1
1,0,0,0,0,2,0,0,13,Robert Swift,0,,0,,0,0,0,0,0
2,0,4,4,1,3,0,0,13,Nick Collison,1,,2,,5,0,0,0,1
1,0,2,3,1,2,2,1,11,Damien Wilkins,2,,3,,4,0,1,0,0
,,,,,,,,0,Danny Fortson,,,,,,,,,
2,0,3,11,4,3,2,1,26,Jason Williams,0,,10,G,3,3,6,1,5
5,0,5,8,4,3,14,9,33,Pau Gasol,4,,17,F,9,0,0,0,1
1,0,1,7,3,3,0,0,24,Shane Battier,4,,7,,5,0,2,1,1
8,0,2,8,1,3,0,0,22,Earl Watson,1,,2,,3,0,1,0,2
,,,,,,,,0,Lorenzen Wright,,,,,,,,,
2,4,5,15,7,3,2,1,33,Stromile Swift,3,,15,C,8,1,0,0,2
0,0,2,3,1,4,2,1,13,Mike Miller,1,,3,,3,1,1,0,3
3,0,1,3,1,3,0,0,24,James Posey,1,,3,F,2,1,3,1,1
0,0,2,4,1,2,0,0,15,Jake Tsakalidis,1,,2,,3,0,0,0,1
,,,,,,,,0,Dahntay Jones,,,,,,,,,
2,1,2,17,9,4,3,0,35,Bonzi Wells,2,,19,G,4,2,3,1,2
2,0,3,7,4,2,6,5,15,Brian Cardinal,2,,13,,5,2,1,0,2
,,,,,,,,0,Larry Hughes,,,,,,,,,
2,0,3,3,2,5,2,0,28,Jared Jeffries,4,,4,,7,1,0,0,2
,,,,,,,,0,Brendan Haywood,,,,,,,,,
4,1,3,20,11,2,4,4,42,Juan Dixon,0,,28,G,3,5,5,2,4
,,,,,,,,0,Gilbert Arenas,,,,,,,,,
3,0,8,16,5,3,10,9,40,Jarvis Hayes,1,,20,F,9,1,4,1,4
6,0,5,7,3,3,4,3,33,Laron Profit,2,,11,G,7,2,4,2,3
3,0,5,30,13,4,9,8,45,Antawn Jamison,3,,34,F,8,1,2,0,4
4,7,4,4,2,5,6,2,39,Michael Ruffin,7,,6,C,11,1,0,0,0
0,0,0,0,0,3,0,0,10,Samaki Walker,0,,0,,0,0,0,0,0
0,1,1,0,0,1,0,0,3,Peter Ramos,0,,0,,1,0,0,0,1
,,,,,,,,0,Anthony Peeler,,,,,,,,,
0,0,0,12,5,2,0,0,26,David Wesley,1,,11,G,1,1,3,1,0
9,0,1,21,8,2,9,8,34,Baron Davis,1,,25,G,2,2,8,1,1
2,0,2,5,2,4,0,0,29,PJ Brown,2,,4,F,4,0,0,0,1
1,1,10,8,3,3,7,5,33,Jamaal Magloire,2,,11,C,12,0,0,0,4
3,0,1,4,3,1,0,0,19,George Lynch,2,,8,F,3,0,3,2,0
1,1,2,4,1,0,1,1,22,Darrell Armstrong,1,,3,,3,0,3,0,3
2,0,4,7,3,0,2,2,20,David West,3,,8,,7,1,0,0,1
1,0,3,7,3,3,1,1,23,Rodney Rogers,0,,7,,3,0,2,0,2
1,0,2,7,3,1,0,0,15,JR Smith,1,,6,,3,0,2,0,1
2,0,1,5,1,1,3,2,15,Chris Andersen,2,,4,,3,0,0,0,1
0,0,0,1,1,0,0,0,2,Lee Nailon,0,,2,,0,0,0,0,0
0,0,0,2,1,0,0,0,2,Alex Garcia,1,,2,,1,0,0,0,1
3,0,3,13,8,2,2,1,25,Michael Finley,0,,19,G,3,0,3,2,3
5,3,5,14,7,3,4,3,39,Dirk Nowitzki,2,,19,F,7,2,5,2,3
2,1,3,1,0,6,0,0,16,Shawn Bradley,0,,0,,3,1,0,0,0
1,0,3,9,4,1,3,3,23,Josh Howard,1,,11,F,4,0,1,0,0
3,0,3,4,3,2,2,0,14,Marquis Daniels,1,,6,,4,0,0,0,2
1,0,0,3,1,0,0,0,9,Devin Harris,0,,2,G,0,0,1,0,0
3,0,4,8,5,4,0,0,31,Erick Dampier,4,,10,C,8,0,0,0,2
2,0,5,13,7,1,4,4,30,Jerry Stackhouse,0,,19,,5,1,2,1,0
5,0,1,12,6,3,2,2,39,Jason Terry,0,,18,,1,4,7,4,1
0,0,1,1,1,4,0,0,14,Alan Henderson,0,,2,,1,0,0,0,0
,,,,,,,,0,Calvin Booth,,,,,,,,,
,,,,,,,,0,DJ Ilunga Mbenga,,,,,,,,,
1,8,4,6,5,2,7,6,38,Andrei Kirilenko,2,,16,F,6,1,0,0,5
4,0,5,11,9,4,3,3,28,Matt Harpring,2,,23,,7,1,2,2,2
0,0,1,1,0,4,0,0,10,Jarron Collins,0,,0,C,1,0,0,0,0
0,0,3,8,4,5,2,2,25,Raja Bell,0,,10,,3,0,3,0,1
1,3,5,3,2,2,2,1,14,Curtis Borchardt,1,,5,,6,0,0,0,1
0,0,1,9,4,4,3,3,12,Gordan Giricek,0,,11,G,1,0,0,0,2
8,0,0,7,2,5,2,2,29,Keith McLeod,0,,6,G,0,1,1,0,1
3,0,6,13,10,1,10,7,34,Carlos Boozer,5,,27,F,11,0,0,0,0
4,2,4,4,0,1,2,2,20,Mehmet Okur,1,,2,,5,1,0,0,0
