assists, ats margin, ats streak, attendance, blocks, coach, conference, date, day, defensive rebounds, dpa, dps, field goals attempted, field goals made, fouls, free throws attempted, free throws made, full name, game number, half scores, line, losses, margin, margin at the half, matchup losses, matchup wins, minutes, month, offensive rebounds, officials, opponents, ou margin, ou streak, overtime, points, rank, rebounds, rest, rival, school name, season, site, site streak, start time, steals, streak, subconference, team, three pointers attempted, three pointers made, time of game, total, tournament, turnovers, venuecap, wins
4,6.000,0,3010,2,Allen Edwards,MW,20191105,Tuesday,25,-26.250,-20.250,37,19,20,23,15,,1,[21, 33],-8.000,0,14,3,0,0,,11,3,,[],-46.500,0,0,54,,28,,,Wyoming,2019,home,0,,6,0,,WYOM,10,1,,140.500,,10,15028,0
9,-6.000,0,3010,1,Ryan Looney,BIGSKY,20191105,Tuesday,17,-20.250,-26.250,47,15,22,18,6,,1,[18, 22],8.000,0,-14,-3,0,0,,11,7,,[],-46.500,0,0,40,,24,,,Idaho State,2019,away,0,,7,0,,IDST,24,4,,140.500,,14,3214,0
12,-13.500,0,7331,5,Craig Smith,MW,20191105,Tuesday,26,5.750,-7.750,53,20,23,45,35,,1,[37, 44],-21.500,0,8,3,0,0,,11,8,,[],-2.000,0,0,81,17,34,,,Utah St.,2019,home,0,,8,0,,UTST,18,6,,156.000,,9,10270,0
13,13.500,0,7331,3,Danny Sprinkle,BIGSKY,20191105,Tuesday,25,-7.750,5.750,57,24,31,26,16,,1,[34, 39],21.500,0,-8,-3,0,0,,11,8,,[],-2.000,0,0,73,,33,,,Montana St.,2019,away,0,,6,0,,MONST,19,9,,156.000,,15,7250,0
9,7.500,0,8208,4,Shaka Smart,B12,20191105,Tuesday,26,-14.250,-6.750,64,29,19,5,4,,1,[34, 35],-16.500,0,24,19,0,0,,11,10,,[],-21.000,0,0,69,,36,,,Texas,2019,home,0,,4,0,POWER6,TEX,27,7,,135.000,,15,16734,0
3,-7.500,0,8208,2,Jeff Linder,BIGSKY,20191105,Tuesday,23,-6.750,-14.250,55,15,9,22,13,,1,[15, 30],16.500,0,-24,-19,0,0,,11,11,,[],-21.000,0,0,45,,34,,,Northern Colorado,2019,away,0,,4,0,,NOCOL,21,2,,135.000,,15,2992,0
18,,0,905,4,Zac Claus,BIGSKY,20191105,Tuesday,19,,,69,34,11,16,13,,1,[43, 45],,0,6,5,0,0,,11,14,,[],,0,0,88,,33,,,Idaho,2019,home,0,,7,0,,IDAHO,24,7,,,,7,7000,0
15,,0,905,4,,,20191105,Tuesday,24,,,61,33,18,6,4,,1,[38, 44],,0,-6,-5,0,0,,11,7,,[],,0,0,82,,31,,,Evergreen State,2019,away,0,,4,0,,EVERG,27,12,,,,12,,0
18,8.500,0,2563,7,Matt Mccall,A10,20191105,Tuesday,20,-10.250,-1.750,64,31,19,17,8,,1,[36, 43],-6.500,0,15,3,0,0,,11,10,,[],-12.000,0,0,79,,30,,,Massachusetts,2019,home,0,,11,0,,MASS,27,9,,155.000,,9,,0
10,-8.500,0,2563,0,Pat Duquette,AE,20191105,Tuesday,25,-1.750,-10.250,60,23,20,20,13,,1,[33, 31],6.500,0,-15,-3,0,0,,11,11,,[],-12.000,0,0,64,,36,,,Massachusetts Lowell,2019,away,0,,7,0,,UMASS,18,5,,155.000,,18,,0
16,1.500,0,6321,5,Travis Ford,A10,20191105,Tuesday,20,-4.250,-2.750,71,34,16,18,10,,1,[40, 49],-20.500,0,22,22,0,0,,11,16,,[],-7.000,0,0,89,,36,,,Saint Louis,2019,home,0,,10,0,,STL,27,11,,163.000,,9,,0
16,-1.500,0,6321,5,Michael Fly,ASUN,20191105,Tuesday,18,-2.750,-4.250,52,24,16,9,7,,1,[18, 49],20.500,0,-22,-22,0,0,,11,5,,[],-7.000,0,0,67,,23,,,Florida Gulf Coast,2019,away,0,,4,0,,FLOGC,27,12,,163.000,,18,,0
13,-1.500,0,7637,4,Mike Rhoades,A10,20191105,Tuesday,29,2.750,1.250,55,27,18,25,15,,1,[36, 36],-15.500,0,14,14,0,0,,11,7,,[],4.000,0,0,72,25,36,,,VCU,2019,home,0,,12,0,,VCU,13,3,,126.000,,17,,0
9,1.500,0,7637,0,Rob Krimmel,NE,20191105,Tuesday,22,1.250,2.750,65,21,20,18,10,,1,[22, 36],15.500,0,-14,-14,0,0,,11,11,,[],4.000,0,0,58,,33,,,St. Francis (PA),2019,away,0,,12,0,,STFRP,21,6,,126.000,,17,,0
15,-13.500,0,2115,3,Donyell Marshall,NE,20191105,Tuesday,28,1.250,-12.250,52,22,17,19,10,,1,[30, 29],1.500,0,-15,-3,0,0,,11,6,,[],-11.000,0,0,59,,34,,,Central Conn. St.,2019,home,0,,9,0,,CCONS,14,5,,144.000,,19,,0
18,13.500,0,2115,2,John Gallagher,AE,20191105,Tuesday,26,-12.250,1.250,56,26,18,15,12,,1,[33, 41],-1.500,0,15,3,0,0,,11,2,,[],-11.000,0,0,74,,28,,,Hartford,2019,away,0,,7,0,,HART,26,10,,144.000,,14,,0
25,17.000,0,8805,2,Scott Drew,B12,20191105,Tuesday,37,0.250,17.250,71,40,20,14,7,,1,[53, 52],-27.000,0,44,21,0,0,,11,11,,[],17.500,0,0,105,16,48,,,Baylor,2019,home,0,,6,0,POWER6,BAY,33,18,,148.500,,14,10347,0
11,-17.000,0,8805,6,Russ Pennell,SL,20191105,Tuesday,17,17.250,0.250,61,22,19,24,13,,1,[32, 29],27.000,0,-44,-21,0,0,,11,6,,[],17.500,0,0,61,,23,,,Central Arkansas,2019,away,0,,5,0,,CENAR,23,4,,148.500,,15,,0
