interception touchdowns, interception yards, interceptions, name
0,26,1,D Curry
0,11,1,D Dobbins
0,6,1,T Gray
0,0,1,O Melifonwu
0,0,1,J Desir
0,2,1,D Smith
0,0,1,I Thomas
0,0,1,M Jackson
0,35,1,J Shaw
0,0,1,S Cravens
0,0,1,D Bailey
0,0,1,H Pullard
0,28,1,M Hunter
0,31,1,C Underwood
0,5,0,C Burnett
0,-1,1,T Newman
0,89,1,B Boddy Calhoun
0,0,1,A Johnson
0,0,1,T Hasson
0,1,1,S Roberts
0,0,1,C Sharpe
0,0,1,T Collet
0,33,1,B Benwikere
0,0,1,S Linton
0,24,1,L Doss
0,0,1,J Franklin
0,0,1,J Sullen
0,0,1,K Davis
0,2,1,C Prewitt
0,0,1,T Conner
0,29,1,B Chubb
0,0,1,K Johnson
0,0,1,M Olson
0,27,2,T Bondurant
0,10,1,D Holiday
0,11,1,T Mark
0,11,1,D Barnett
0,0,1,M Williams
0,0,1,G Olson
0,21,1,K Drummond
0,6,2,J Jones
0,4,1,A Kirk
0,0,1,D Matthews
0,33,1,J Tartt
0,12,1,B Wilson
0,0,1,J Winston
0,24,2,R Therezie
0,-2,1,J Holsey
0,25,1,C McAllister
0,23,1,B Jones
0,14,1,S Sylvia
0,0,1,M Asprilla
0,0,1,A Logan
0,0,1,A Sebastian
0,96,2,C Ellis
0,0,1,I Campbell
0,41,1,A Witty
0,0,1,N Temple
0,0,1,R Isaac
0,0,1,F Williams
0,18,1,C Crawford
0,19,1,B Borders
0,20,1,N Williams
0,25,1,S Kurtz
0,2,1,W Creear
0,12,1,A Olatunji
0,15,1,III
0,95,1,T Marcordes
0,54,1,C Milton
0,24,1,J Hunt Days
0,28,1,C Belts
0,22,1,D Durante
0,20,1,J Ward
0,0,1,D McDougle
0,54,1,R Taylor
0,36,1,J Wilson
0,7,1,K Frazier
0,0,1,J Chapman
0,9,1,B Webb
0,0,2,E Gaines
0,27,1,R Waiters
0,0,1,J Mastin
0,19,1,I Enemkpali
0,42,1,S Jean Baptiste
0,0,1,C Evans
0,33,1,B Burns
0,18,1,B Njoku
0,0,1,R Tanner
0,45,1,K Mack
0,0,1,J Wilson
0,0,1,C Smith
0,7,1,Z Craig
0,0,1,J Gilbert
0,51,2,A McNulty
0,0,1,D Bland
0,0,1,J Wickliffe
0,0,1,J Ward
0,76,1,G Morgan
0,18,1,R Bronson
0,27,2,D Mayo
0,31,1,R Welsh
0,21,1,J Wilkes
0,4,1,S Obeng Agyapong
0,0,1,T Williams
0,-1,1,J Mills
0,5,1,D Hood
0,4,1,M Foreman
0,0,1,A Phillips
0,0,1,G Callender
0,0,1,C Barnard
0,18,1,C Honeycutt
0,0,1,T Jacobs
0,27,0,H Coley
0,6,1,A Harris
0,0,1,C Bills
0,11,1,K Fuller
0,38,1,V Sunseri
0,0,1,S Parker
0,0,1,D Deayon
0,0,1,S Shelton
0,15,1,D Brown
0,0,1,D Cook
0,0,1,H Smith
0,0,1,X Hughes
0,31,1,J Ramsey
0,0,1,T Brooks
0,67,1,G Taylor
0,0,1,A Jones
0,26,1,J Hawkins
0,18,1,M Falls
0,0,1,B Jones
0,0,1,K Johnson
0,0,1,J Byrd
0,0,1,A Holmes
0,0,1,K Williams
0,11,1,J Garrett
0,7,1,X Howard
0,62,2,B Douglas
0,20,1,D Kamper
0,0,1,D Thompson
0,0,1,D Thomas
0,0,1,K Jackson
0,52,1,M Jenkins
0,35,1,D Robinson
0,0,1,K Frazier
0,0,1,K Parkinson
0,79,1,J Bell
0,46,1,G Henderson
0,0,1,K Crawley
0,4,1,M Mitchell
0,0,1,B Watkins
0,0,1,T Barton
0,27,1,C Johnson
0,0,1,T Miller
0,28,1,R Bentley
0,10,1,K Stowers
0,32,1,T Zimmerman
0,20,1,D Jones
0,8,1,D Barksdale
0,16,1,A Cooper
0,26,1,C Pryor
0,0,1,L Liggins
0,21,1,S Davis
0,3,1,Y Ngakoue
0,0,1,I Goins
0,0,1,C Taylor
0,0,1,J Santos Knox
0,37,1,K Al Mateen
