kickoff return yards, kickoff returns, longest kickoff return, name
144,3,90,J Smith
11,1,11,S Brunner
5,1,5,C Ryan
42,2,23,J Burch
16,1,16,M Coprich
16,1,16,M Meyers
5,1,5,J Farmer
29,1,29,R Moore
66,3,25,T Watts
29,1,29,K Lucas
23,1,23,D Walker Jr
2,1,2,Z Langer
32,2,17,R Hall
53,3,15,D Phillips
25,1,25,M Freeman
61,3,26,D Foxx
49,3,20,S Phillips
64,3,30,D Joseph
181,7,56,D Root
113,2,100,J Grant
121,6,35,C Gant
10,1,10,A Wily
22,1,22,M Lee
43,2,28,T Coleman
63,3,24,T Riley
21,1,21,G Cheeseborough
9,1,9,T High
24,1,24,E Calhoun
24,1,24,D Abnar
14,1,14,K Fogg
134,3,98,M Jones
14,1,14,M Williams
103,5,29,A Smith
25,1,25,S Murray Lawrence
56,2,34,K Gilstrap
25,1,25,T Jefferson
12,1,9,C Pennycuff
58,3,22,S Hill
38,2,20,G Lewis
10,1,10,J Lorquet
43,1,43,T Glover
18,1,18,S Smith
39,2,23,G McNabb
11,1,11,F Moala
39,2,21,V Hampton
88,4,28,S Tapley
38,2,23,E Graham
30,1,30,D Breaux
17,1,17,D Boutte
22,2,12,J Moore
38,2,30,J Poole
18,1,18,C Johnson
27,1,27,T Glover Wright
34,1,34,D Sims
12,1,12,B Kimbrow
11,1,11,A Hal
14,1,14,J Walton
44,2,23,J Armstrong
120,5,35,L Mayes
39,2,22,J Crockett
21,1,21,L Dixon
63,3,24,C Flowers
18,1,18,T Taylor
34,2,18,M Alford
70,3,26,D Ayers
88,5,35,J Richardson
28,1,28,W Quinn
18,1,18,T Thompson
11,2,6,Z Nemecheck
3,1,3,L Dowling
58,2,30,M Williams
44,2,27,N Hill
37,2,19,D Chance
11,1,11,P Dorsett
34,2,20,L Whitehead
18,1,18,K Reaser
15,1,15,M Jackson
37,2,19,C Lancaster
13,1,13,K Pope
37,2,23,J Grant
60,3,25,A Wilson
31,2,19,K Hill
149,3,100,F Truss
0,1,0,J Gates
48,2,25,N Bellamy
29,2,21,A Mitchell
16,1,16,A Taylor
11,1,11,J Johnson
18,1,18,A Riles
141,3,100,T Mason
30,1,30,T West
46,2,29,D Jones
40,1,40,C Flowers
23,1,23,W Gay
15,1,15,O Harden
34,2,19,S Evans
30,1,30,D Dudeck
19,1,19,J Abdur Rahman
126,6,34,K Muhammad
18,1,18,D Lasco
59,3,24,S Buckley
22,1,22,R Abernathy IV
33,2,20,B Knauf
23,1,23,R Mostert
20,1,20,A Hunt
36,2,18,M Bryant
24,1,24,S Watkins
63,3,28,A Wilkins
35,2,18,T Dixon
23,1,23,L Ray
34,2,20,C Goodwyn
11,1,11,C Boyd
82,4,26,T Allen
59,4,17,R Tyson
41,2,23,R Aiyegoro
48,2,31,S Patton
58,3,23,B Reedy
9,1,9,R Adams
22,1,22,A Davis
17,1,17,K Brown
120,2,100,V Bentley
17,1,17,M Osei
-2,1,0,D Mosely
73,2,60,L McKinney
48,3,19,J Cotton
32,2,16,A Cox
0,1,0,R Hamilton
20,1,20,A Sebastiano
68,4,21,Q Bundrage
31,1,31,A Wimberly
32,2,22,L Cunningham
70,3,40,S Diggs
92,5,23,S Miller
18,1,18,S Oyegunle
106,4,39,D Norfleet
88,4,27,D Davis
20,1,20,S Lavallii
21,1,21,M Murphy
16,1,16,W Powell
42,2,33,S Butler
42,2,21,D Scott
15,1,15,R Williams
38,2,25,R Smith
20,1,20,L Fitte
18,1,18,D Banks
72,2,37,K Bell
10,1,10,C Zimmerer
35,2,18,J Claiborne
18,1,18,T Finley
38,2,23,C Clayton
40,2,21,G Atkinson III
88,3,39,J Fitzpatrick
28,1,28,B Chancellor
76,3,43,R Montgomery
51,1,51,D Wilson
17,1,17,J Hall
13,1,13,J Heuerman
75,6,16,D Campbell
45,2,24,J Gilbert
92,3,66,J Lewis
12,1,12,R Johnson
60,2,48,K Lowe
80,4,22,R Tyler
46,2,24,C Fortson
23,1,23,J Johnson
18,1,18,D Bolt
119,6,27,V Bolden
27,1,27,J Stevenson
16,1,16,C Smith
51,2,29,S Hill
16,1,16,T Lee III
43,3,28,D Pumphrey
21,2,13,C Young
15,1,15,E Beed
38,2,21,T Pendergrass
13,1,13,S Little
123,5,38,D Hopkins
15,1,15,M Pierre
71,3,26,D Spencer
91,3,35,E Johnson
23,1,23,J Sims
12,1,12,B Smith
1,1,1,T Gay
70,2,35,G Morris II
66,3,26,B Belton
159,4,100,B Catalon
10,1,12,B Carter
136,4,75,O Beckham Jr
58,1,58,D Young
50,2,36,M Carlton
40,2,20,T Phillips
28,1,28,L Chatman
15,1,15,K Johnson
23,1,23,D Santos
122,5,29,A Shapiro
15,1,15,J Matthews
50,2,33,C Worthy
168,4,97,J Nelson
37,2,21,J Jean
40,2,23,B Malena
25,1,25,T Williams
7,1,7,L Gonzalez
51,3,20,D Pollard
38,1,38,M Hull
103,5,25,S Manfro
49,3,18,K Brock
18,1,18,E Mitchell
56,3,25,T Mizzell
39,2,20,K Shepherd
66,3,27,A Hine
57,4,15,D Knowles
39,2,24,D Greene
109,2,94,C Jones
41,2,33,J Ross
91,4,26,S Williams Rhodes
19,1,19,C Bertoli
28,1,28,K Doe
104,4,28,T Dudley Giles
40,2,22,D Woods
41,2,21,A Andrews
74,3,26,D Robinson
26,1,26,W Smallwood
16,1,16,C Sims
79,3,31,T McBride
162,4,84,T Coffman
30,1,30,T Simmons
19,1,19,M Mosley
25,1,25,R Clark
20,1,20,C Lamb
124,5,41,D Bass
71,3,35,T Boyd
48,3,17,L Pitts
19,1,19,B Felder
56,3,26,L Joyner
20,1,20,R Smith
15,1,15,E Graham
104,2,85,L Ray
29,1,29,R Brown
24,1,24,D Smith
12,1,12,M Wright
30,2,16,S Evans
10,1,10,D Dudeck
18,1,18,J Wilhite
22,1,22,D Jasper
22,1,22,R Hall
15,1,15,A LaCoste
40,2,23,T Glover Wright
39,2,23,M Traylor Bennett
80,3,30,D Simmons
28,1,28,R Davis
10,1,10,D Smith
50,2,27,E Hawkins
31,1,31,F Truss
33,1,33,Q Bray
24,1,24,T Mason
36,2,25,J McKissic
25,1,25,J Jones
