longest punt return, name, punt return yards, punt returns
1,V Wharton III,1,2
5,L Lee,5,1
26,E Thomas,26,1
11,D Davis,16,2
7,T Owens,7,1
8,A Onunwor,11,2
1,D Olmstead,1,1
0,J Alexander,0,1
6,K Pass,-3,2
0,A Duke,0,1
0,D Wolitarsky,0,1
4,R Dockery,4,1
0,V Bolden Jr,0,2
13,B Cherry,13,1
31,C Davis Jr,37,3
0,A Simmons,-2,1
4,C Sutton,0,3
45,J Capel,45,1
35,B Hobbs,55,5
12,B Measom,12,2
22,A Rodriguez,28,2
3,C Duncan,4,2
7,D Samuel,8,2
2,T Hines,2,2
10,D Hilliard,10,2
0,N Fant,-4,2
2,V Banks,2,1
24,C Echols Luper,24,1
6,C Jones,18,3
44,T Nicholson,83,4
11,T White,12,2
8,J Eiland,20,4
10,J MacIntyre,19,2
5,B Banham,5,1
0,P Hart,0,1
15,A Hepp,27,2
13,R Shelton,19,2
3,B Sowards,4,2
5,A Suttles,5,1
16,C McCaffrey,16,2
18,D Heath,18,1
5,B Pringle,5,1
11,B Estime,21,2
9,A Daramy,9,1
6,D Fuller,6,1
5,J Miller,5,2
12,J Natson,8,4
6,C Ridley,4,2
15,D Burnett,15,1
0,J Cornelius,0,1
32,T Taylor,39,2
43,T White,43,3
22,T Rouse,36,2
15,B Stewart,15,1
27,G Juergens,27,1
6,N Phillips,6,1
21,C Johnson,46,4
36,R Smith,43,3
0,S Wilson,-3,1
0,D Brunson,1,1
1,Q Johnson,1,1
8,H Bussey,16,2
8,B Reed,8,1
17,A Callaway,33,4
6,J Allen,9,2
66,M Crockett,73,4
10,M Quick,10,1
22,D Mosley,20,3
0,M Golson,-1,1
15,D King,15,1
0,J Murphy,0,1
26,T Ryen,40,3
4,A Lazard,4,1
17,L Gonzalez,17,1
0,D Neal,0,1
0,H Cooper,-2,1
6,A Butler,2,2
0,M Green,0,1
13,T Edmunds,13,0
0,T Johnson,8,1
2,J Avery,2,1
17,A Miller,33,3
0,T Pollard,8,1
4,J Williams,4,1
0,T McCullough,0,1
41,B Berrios,55,3
0,P Bethel,13,1
6,K Smith,6,1
14,J Peppers,28,2
0,J Gray,-19,1
21,R James,35,3
0,T Lee,-2,1
18,C Scott,18,1
17,C Smith,17,1
9,C Caddle,9,1
13,R Switzer,20,2
1,I McKenzie,-2,3
15,R Stanley,15,1
2,T Glass,2,1
5,J Proche,5,1
9,D Wilson,11,2
0,C Smith,-9,1
17,P White,21,2
9,B McDowell,9,1
57,B Sanders,57,1
19,J Tillman,15,2
46,C Nelson,98,4
0,I Olave,0,1
31,Q Henderson,58,4
13,J McClenton,13,1
21,J Reid,22,4
3,N Holley,2,2
0,M Kimbrough,-6,2
8,K Northington,16,2
12,Q Truxton,16,3
14,C DeAndrade,18,2
11,D Johnson,21,3
14,T Fullwood,17,2
81,K Turpin,82,2
10,D White,10,1
8,M Lewis,7,2
10,K Wadley,11,2
0,T Crawley,-6,1
28,C Rookard,30,2
5,K Moore,5,1
17,C Kirk,17,1
16,I Adams,32,5
33,C Batson,75,4
36,T Hart,36,1
43,T Juniel,104,6
0,T Taylor,0,1
8,J Taylor,20,7
12,K Thomas,29,4
6,D Hamm,11,2
19,G Stroman,22,3
2,C Carroll,2,1
0,C Williams,-8,1
0,D King,-2,1
68,D Pettis,85,3
14,K Fossum,14,1
3,T White,3,1
8,G Jennings,7,4
2,J Johnson,2,1
7,A Conway,-1,5
19,S Lurry,23,3
20,J Warrick,30,3
40,C Sanders,51,2
36,D Brown,62,3
39,I Harper,39,1
15,M Little,15,1
7,C Davis,7,1
5,T Gaiter IV,5,1
0,A Jones,0,1
12,W Likely,12,1
11,T Morgan,11,1
2,B Estime,4,2
18,J Alexander,13,3
13,T Diggs,15,2
13,N Fant,13,2
5,J Capel,5,1
9,D Brown,9,1
9,E Poe,12,2
10,C Holt,10,1
22,J Taylor,24,2
4,S Brown,4,1
1,M Carter,1,2
8,M Davis,8,1
14,T White,14,2
0,C Batson,0,1
4,T White,4,1
6,T Nicholson,-28,2
6,J Proche,4,2
0,A Butler,-2,1
16,K Fossum,35,3
10,S Miller,14,2
0,R Moore,-6,1
9,J Santiago,12,3
8,A Duke,17,4
19,K Moore,19,1
0,C Joyner,0,1
74,R McCloud,96,3
4,C Rookard,4,1
14,J MacIntyre,30,5
6,T Louie McGee,6,1
12,R Ruiz,6,3
11,J Taylor,14,2
30,R Smith,43,3
1,T Hines,1,1
2,B Cherry,2,1
3,A Callaway,3,2
1,F Swain,1,1
89,J Wilson,89,1
0,K Fraise,-6,1
10,T Glass,19,5
0,I Hennie,0,1
55,I McKenzie,55,2
1,J Singleton,1,1
15,B Stewart,23,2
0,J Ursua,0,1
79,L Lee,79,1
8,C Wilder,8,2
6,S Dunbar,6,2
0,B Langley,-8,1
3,D Mosely,3,1
28,A Proehl,28,1
3,R Switzer,5,2
14,M Paige,14,2
4,R Fant,4,1
0,D Cromartie,21,1
1,A Hepp,1,3
14,D King,20,3
0,L Gonzalez,-19,2
26,N Holley,26,1
10,K Gardin,10,1
6,G Haynes,7,2
60,T White,59,3
5,L Debardelaben,5,1
8,T Taylor,12,1
11,J Allen,14,3
33,T Rouse,56,5
13,B Berrios,17,3
0,R McIntosh,6,1
0,A Gooch,0,1
35,J Peppers,46,2
12,C Johnson,12,1
4,D Wolitarsky,7,2
6,V Jefferson,6,1
54,J Johnson,74,2
0,C Black,-1,1
6,H Foster,6,2
4,B Rodgers,4,1
8,W King,12,2
16,F Ross,37,4
26,C Cass Jr,26,1
20,C Scott,20,1
25,A Conway,25,1
