longest punt, name, punt yards, punts
54,Chris Miller,121,3
58,Derek Epperson,241,6
47,Sam Swank,157,4
45,Peter Fardon,119,3
59,Kyle Peterson,145,3
54,Kevin Huber,183,4
42,Brett Hartmann,96,3
47,Desi Cullen,87,2
55,Zach Johnson,94,2
28,Patrick Treppa,28,1
51,Scott Blair,51,1
50,Matt Bosher,118,3
59,Jacob Richardson,242,5
49,Brett Upson,161,4
52,David DeFatta,241,6
49,Will Goggans,189,5
49,Spencer Lanning,137,3
48,Bradley Pierson,256,6
51,David Green,225,5
40,Johnny Hekker,64,2
44,Andrew Rinehart,184,5
48,Jeff Wathne,176,4
39,Kyle Martens,78,2
25,Chase Clement,25,1
57,Thomas Morstead,279,6
50,Brandon Geyer,50,1
45,Ryan Harrison,45,1
40,PJ Fitzgerald,73,2
51,Dawson Zimmerman,160,4
45,Jeremy Davis,114,3
51,Alex Zendejas,51,1
2,Keenyn Crier,2,1
58,TJ Conley,340,7
58,Clinton Durst,304,7
49,Scott Love,398,10
34,Jeremy Gener,34,1
60,Thomas Weber,259,6
47,Brad Elkin,179,4
52,CJ Santiago,126,3
59,Bryan Anger,192,4
49,Aaron Bates,189,5
47,Blake Clingan,115,3
68,Kevin Jones,214,4
45,Matt Dodge,130,3
49,Brent Bowden,93,2
60,Chas Henry,212,4
48,Tim Grasso,225,5
44,Brian Mimbs,150,4
35,Chase Turner,35,1
36,Ryan Donahue,36,1
58,Alonso Rojas,138,3
57,Carlos Munera,263,6
50,George Pierson,128,3
51,Truman Spencer,443,11
54,Matt Rinehart,217,5
44,Julian Edelman,44,1
48,Ryan Quigley,162,4
34,Billy Flutie,34,1
41,Brady Dalfrey,102,4
45,Josh Jasper,45,1
54,Chris Keagle,307,7
47,Blake McAdams,221,7
53,Travis Baltz,173,4
44,Zoltan Mesko,264,7
35,Nick Sheridan,35,1
59,Louie Sakoda,283,6
54,Justin Kucek,216,5
46,Andy Dittbenner,244,6
47,Rob Park,119,3
41,Will Hudgens,79,2
36,Brent Sutherland,36,1
44,Jake Harry,151,4
56,Anthony Santella,336,8
49,Kae Whitehead,247,6
32,Kyle Delahooke,32,1
53,Terrence Brown,195,5
54,Dan Titchener,113,3
41,Ben Armer,181,5
53,Brad Langley,188,4
57,Adam Miller,318,9
46,Anson Kelton,167,4
40,Andy Dalton,66,2
42,Stefan Demos,192,6
72,Robert Long,330,7
43,Mike Knall,174,5
52,Josh Syria,175,4
57,Jared Ballman,356,10
46,Dave Brytus,189,5
79,Nick Iovinelli,361,8
46,Jeremy Boone,46,1
49,Brian Stahovich,158,4
43,Delbert Alvarado,43,1
58,Philip Zavala,188,5
39,Britt Barefoot,77,2
40,Brett Hicks,40,1
45,Spencer Ortego,209,6
44,John Gold,128,3
44,Colt McCoy,44,1
32,Trevor Gerland,32,1
54,Keegan Peterson,285,7
56,Justin Brantly,102,2
49,Brett Shrable,129,3
53,Jonathan LaCour,87,2
43,Swayze Waters,198,5
69,Michael Such,69,1
34,Damaris Johnson,34,1
42,Dack Ishii,113,3
39,Lamers,112,3
56,Peter Caldwell,232,5
49,Jimmy Howell,306,8
37,Greg Woidneck,72,2
51,Mike Graise,305,8
47,Matt Fodge,174,4
58,Brad Nortman,58,1
49,John Stec,225,6
45,Pat McAfee,85,2
46,Austin McCoy,77,3
37,Nick Landess,37,1
48,Matt Schulte,94,2
46,Anthony Hartz,171,4
41,Matt DiLallo,93,3
50,Corey Goettsche,357,9
53,Tim Masthay,171,4
47,Ryan Tydlacka,125,3
49,Teddy Dellanganna,199,5
47,Robert Malone,239,6
36,Kevin Goessling,36,1
55,Aaron Perez,281,6
43,Chad Cunningham,234,6
46,Brett Upson,208,6
52,Spencer Lanning,179,4
41,Chris Miller,41,1
0,Mario Washington,0,1
38,Brandon Thompkins,38,1
46,PJ Fitzgerald,280,7
39,Darren deRochemont,145,4
42,Ross Thevenot,81,2
47,Jeremy Davis,79,2
41,Scott Love,152,4
50,Andrew Rinehart,216,5
34,Keenyn Crier,34,1
53,Bill Claus,201,5
51,Aaron Opelt,51,1
53,Clinton Durst,221,5
58,Britt Barefoot,320,8
44,Thomas Weber,44,1
51,David Green,132,3
61,Derek Epperson,117,2
42,Billy Flutie,115,3
46,Scott Blair,170,4
49,Nick Iovinelli,162,4
51,Justin Kucek,243,6
52,Blake Clingan,368,9
52,Delbert Alvarado,275,6
41,Jimmy Maners,41,1
49,Matt DiLallo,178,4
48,Kevin Jones,156,4
27,Nick Maggio,27,1
54,Stefan Demos,320,8
48,Matt Dodge,164,4
64,Pat McAfee,225,5
52,Jeremy Moore,143,4
48,Swayze Waters,85,2
47,Shawn Powell,93,2
46,Brian Mimbs,131,3
65,Brett Hartmann,290,7
36,Dan LeFevour,36,1
53,Tim Grasso,176,4
56,Nick Conley,214,5
42,Anthony Santella,76,2
50,Chris Hagerup,118,3
40,Ryan Donahue,73,2
52,Carlos Munera,322,8
48,Mike Brandtner,147,4
54,Matt Rinehart,165,4
41,Alonso Rojas,64,2
47,Chris Keagle,284,7
49,Ryan Tydlacka,91,2
50,Tim Masthay,88,2
45,Corey Goettsche,199,5
50,Aaron Bates,118,3
45,Joe Carithers,260,7
