name, rushes, rushing touchdowns, rushing yards
D Furuta,5,1,42
M Reed,9,0,40
C Cordeiro,5,0,34
C McDonald,6,0,21
F Holly III,4,0,19
C Byrd II,1,0,3
K Tate,13,0,108
J Taylor,14,1,67
M Wiley,3,0,3
N Tilford,1,1,1
T Cunningham,1,0,-1
D Dallas,12,1,95
J Thomas,1,0,16
C Harris,6,0,15
B Baxa,1,0,11
K Osborn,1,0,2
T Martell,1,0,-1
J Williams,14,0,-44
L Perine,10,0,42
F Franks,7,1,8
T Townsend,1,0,6
K Toney,3,0,3
D Pierce,3,0,2
M Davis,3,0,-9
E Benjamin,22,0,102
I Floyd,6,0,34
E Long,3,0,21
J Daniels,12,1,13
A Carter,2,0,2
J Shaw,16,0,67
D Crum,6,0,24
X Williams,4,0,13
J Parker,1,0,11
C Elmore,3,0,5
J Bangda,3,0,1
W Barrett,7,0,-1
A Clair,14,1,86
D Jones,16,1,76
G Loy,8,0,60
B Denley,9,0,49
D Wade,4,0,42
N Sealey,4,0,17
C Lamar,4,0,2
J Rogers,1,0,1
L Williams,12,0,41
J Chase,9,0,20
J Johnson,2,0,1
D Bonner,1,0,-8
D Golatt,7,0,-8
J Patterson,12,1,90
K Marks,13,0,75
M Myers,4,1,47
D McDuffie,4,0,27
T Anderson,6,0,26
R Cook Jr,7,1,24
K Vantrease,1,0,-4
A Jackson,13,1,85
J Johnson,13,0,45
T Stephens Jr,11,0,19
G Martin,7,0,0
T Williams,7,1,45
Z Wilson,8,0,43
A Hifo,2,0,8
L Katoa,3,0,3
J Hall,2,0,-7
Z Moss,29,1,187
T Huntley,8,0,39
J Dixon,2,1,17
J Wilmore,4,0,15
D Simpkins,2,0,8
A Killins Jr,14,1,106
B Thompson,6,0,64
G McCrae,10,1,56
T Coles,12,0,47
O Anderson,4,0,37
B Wimbush,8,0,20
Q Jones,2,0,8
X Smith,1,0,10
E Tillman III,1,0,9
T Jennings,6,0,5
D Smith,4,0,3
R Henrilus,6,0,1
C Sapp,1,0,-1
A Rey,1,0,-4
R Stanley,2,0,-5
C Reid,1,0,-5
R McKay,1,0,-7
M Warren II,26,1,92
G Doaks,10,0,53
D Ridder,9,0,34
R Montgomery,1,0,2
D Felton,23,0,71
M Irby,3,0,11
D Thompson Robinson,10,0,-20
T Etienne,12,3,205
L Dixon,8,1,64
C Mellusi,6,0,36
M Dukes,7,0,29
T Lawrence,3,1,24
T Phommachanh,5,0,21
D Rencher,6,0,21
C Brice,2,0,11
J Mason,13,1,72
T Oliver,20,0,56
J Graham,4,0,15
J Howard Jr,4,0,15
L Johnson,1,0,1
J Griffin,2,0,1
