defensive two point conversion, forced fumble, forced fumbles, fumble return touchdowns, fumble return yards, interception return touchdowns, interceptions, name, sacks, safeties, tackle assists, tackles
,,0,0,,0,0,Donta Hightower,1.000,0,2.000,6
,,0,0,,0,0,Bradley Fletcher,0.000,0,2.000,4
,,0,0,,0,0,Malcolm Butler,0.000,0,2.000,3
,,0,0,,0,0,Jamie Collins,0.000,0,3.000,3
,,0,0,,0,0,Devin McCourty,0.000,0,2.000,3
,,0,0,,0,0,Rob Ninkovich,0.000,0,1.000,3
,,0,0,,0,0,Tarell Brown,0.000,0,2.000,2
,,0,0,,0,0,Patrick Chung,0.000,0,3.000,2
,,0,0,,0,1,Duron Harmon,0.000,0,1.000,2
,,0,0,,0,0,Jabaal Sheard,1.000,0,1.000,2
,,0,0,,0,0,Alan Branch,0.000,0,1.000,1
,,0,0,,0,0,Malcom Brown,1.000,0,1.000,1
,,0,0,,0,0,Chris Jones,0.000,0,2.000,1
,,0,0,,0,0,Jerod Mayo,0.000,0,1.000,1
,,0,0,,0,0,Sealver Siliga,0.000,0,2.000,1
,,0,0,,0,0,Geneo Grissom,0.000,0,1.000,0
,,0,0,,0,0,Will Allen,1.000,0,0.000,8
,,0,0,,0,0,Ryan Shazier,0.000,0,2.000,5
,,0,0,,0,0,William Gay,0.000,0,0.000,4
,,0,0,,0,0,Cortez Allen,0.000,0,3.000,3
,,1,0,,0,0,Mike Mitchell,0.000,0,1.000,3
,,0,0,,0,0,Antwon Blake,0.000,0,1.000,2
,,0,0,,0,0,Bud Dupree,1.000,0,0.000,2
,,0,0,,0,0,James Harrison,0.000,0,2.000,2
,,0,0,,0,0,Lawrence Timmons,0.000,0,1.000,2
,,0,0,,0,0,Robert Golden,0.000,0,1.000,1
,,0,0,,0,0,Cameron Heyward,0.000,0,3.000,1
,,0,0,,0,0,Dan McCullers Sanders,0.000,0,0.000,1
,,0,0,,0,0,Steve McLendon,0.000,0,1.000,1
,,0,0,,0,0,Cam Thomas,0.000,0,0.000,1
,,0,0,,0,0,Jarvis Jones,0.000,0,1.000,0
,,0,0,,0,0,Shamarko Thomas,0.000,0,1.000,0
,,0,0,,0,0,Stephon Tuitt,0.000,0,1.000,0
,,0,0,,0,0,Adrian Amos,0.000,0,0.000,5
,,0,0,,0,0,Pernell McPhee,0.000,0,1.000,5
,,0,0,,0,0,Christian Jones,0.000,0,3.000,4
,,0,0,,0,0,Shea McClellin,0.000,0,4.000,4
,,0,0,,0,0,Antrel Rolle,0.000,0,2.000,4
,,0,0,,0,0,Jared Allen,0.000,0,0.000,3
,,0,0,,0,0,Alan Ball,0.000,0,0.000,3
,,0,0,,0,0,Eddie Goldman,0.000,0,0.000,2
,,0,0,,0,0,Kyle Fuller,0.000,0,1.000,1
,,0,0,,0,0,Jarvis Jenkins,0.000,0,0.000,1
,,0,0,,0,0,Sherrick McManis,0.000,0,2.000,0
,,0,0,,0,0,Willie Young,0.000,0,1.000,0
,,0,0,,0,1,Clay Matthews,0.000,0,0.000,6
,,0,0,,0,0,Nate Palmer,0.000,0,1.000,6
,,0,0,,0,0,Sam Shields,0.000,0,1.000,6
,,0,0,,0,0,Ha Ha Clinton Dix,0.000,0,1.000,5
,,0,0,,0,0,Micah Hyde,0.000,0,0.000,4
,,0,0,,0,0,Julius Peppers,1.500,0,1.000,4
,,0,0,,0,0,Casey Hayward,0.000,0,0.000,3
,,0,0,,0,0,Sean Richardson,0.000,0,0.000,3
,,0,0,,0,0,Jay Elliott,0.000,0,0.000,2
,,0,0,,0,0,BJ Raji,0.500,0,2.000,2
,,0,0,,0,0,Sam Barrington,0.000,0,0.000,1
,,0,0,,0,0,Josh Boyd,0.000,0,0.000,1
