field goals, field goals attempted, kicking extra points, kicking extra points attempted, longest field goal, name
2,2,3,3,32,Stephen Gostkowski
0,0,6,6,0,Cairo Santos
1,1,2,2,54,Connor Barth
3,3,2,2,48,Matt Bryant
2,2,2,2,25,Justin Tucker
0,1,3,3,0,Stephen Hauschka
2,2,0,0,52,Chandler Catanzaro
1,1,1,1,24,Zane Gonzalez
0,0,3,3,0,Chris Boswell
4,4,1,1,48,Dan Bailey
1,1,0,0,25,Aldrick Rosas
1,1,0,0,44,Robbie Gould
3,3,2,2,39,Graham Gano
1,1,2,2,58,Matt Prater
1,2,2,2,24,Phil Dawson
1,1,2,2,40,Mason Crosby
3,3,0,0,41,Blair Walsh
3,3,5,5,50,Greg Zuerlein
1,2,0,1,20,Adam Vinatieri
1,1,2,2,33,Dustin Hopkins
3,3,1,2,50,Caleb Sturgis
0,0,1,1,0,Kaimi Fairbairn
3,4,2,3,42,Jason Myers
3,4,1,1,52,Ryan Succop
4,4,2,2,52,Giorgio Tavecchio
1,2,3,3,20,Brandon McManus
0,1,3,3,0,Younghoe Koo
3,3,2,3,45,Kai Forbath
4,4,1,1,43,Wil Lutz
3,3,0,0,39,Randy Bullock
2,2,1,1,42,Kaimi Fairbairn
0,1,6,6,0,Brandon McManus
1,1,2,2,56,Dan Bailey
3,3,2,3,50,Nick Folk
0,0,1,1,0,Connor Barth
1,3,2,2,41,Younghoe Koo
4,4,1,1,54,Cody Parkey
2,2,3,3,39,Cairo Santos
2,3,2,2,40,Jake Elliott
2,2,1,1,46,Adam Vinatieri
3,4,1,1,40,Phil Dawson
2,2,4,4,53,Matt Bryant
1,1,2,2,28,Mason Crosby
1,1,1,1,43,Jason Myers
3,3,4,4,41,Ryan Succop
3,3,0,0,34,Graham Gano
1,1,0,0,45,Stephen Hauschka
1,1,6,6,29,Giorgio Tavecchio
2,2,2,2,46,Chandler Catanzaro
2,2,2,2,40,Greg Zuerlein
2,3,3,3,41,Dustin Hopkins
1,2,3,3,28,Justin Tucker
1,1,1,1,38,Zane Gonzalez
2,3,2,2,46,Wil Lutz
3,3,3,4,28,Stephen Gostkowski
2,2,0,1,27,Blair Walsh
3,3,0,0,40,Robbie Gould
4,4,2,2,46,Chris Boswell
1,1,0,1,42,Kai Forbath
1,1,1,1,25,Aldrick Rosas
1,1,3,3,56,Matt Prater
2,2,3,4,48,Robbie Gould
2,2,5,5,48,Greg Zuerlein
1,2,2,2,24,Connor Barth
1,2,2,2,32,Chris Boswell
4,4,2,2,55,Stephen Hauschka
3,3,1,1,38,Brandon McManus
1,1,1,1,29,Younghoe Koo
1,1,3,3,34,Cairo Santos
1,1,4,4,33,Adam Vinatieri
0,0,4,4,0,Zane Gonzalez
2,3,3,3,61,Jake Elliott
1,1,3,3,41,Aldrick Rosas
3,3,5,5,45,Jason Myers
0,0,1,1,0,Justin Tucker
2,3,2,2,40,Chandler Catanzaro
0,0,0,1,0,Cody Parkey
4,4,2,2,57,Matt Prater
3,3,3,3,48,Matt Bryant
2,2,3,3,28,Mason Crosby
1,2,3,3,46,Randy Bullock
2,2,1,1,48,Graham Gano
2,3,4,4,50,Wil Lutz
0,0,4,4,0,Stephen Gostkowski
4,4,3,3,40,Kaimi Fairbairn
2,3,3,3,28,Dustin Hopkins
1,1,1,1,22,Giorgio Tavecchio
4,4,3,3,47,Ryan Succop
0,0,3,3,0,Blair Walsh
2,2,4,4,37,Kai Forbath
1,1,2,2,40,Nick Folk
1,2,2,2,37,Phil Dawson
0,0,4,4,0,Dan Bailey
0,0,5,5,0,Mason Crosby
0,1,2,2,0,Connor Barth
3,4,1,1,46,Brandon McManus
1,1,1,1,38,Giorgio Tavecchio
0,1,1,1,0,Zane Gonzalez
1,1,4,4,41,Randy Bullock
2,4,1,2,34,Nick Folk
1,2,2,2,30,Aldrick Rosas
4,4,0,0,50,Phil Dawson
5,5,0,0,49,Robbie Gould
1,1,3,3,28,Younghoe Koo
4,4,2,2,53,Jake Elliott
1,1,3,3,34,Dan Bailey
7,7,2,2,49,Greg Zuerlein
2,3,2,2,45,Wil Lutz
1,1,2,2,28,Matt Bryant
3,3,2,2,56,Stephen Hauschka
3,4,2,2,45,Chandler Catanzaro
2,3,2,2,30,Jason Myers
3,3,3,3,58,Stephen Gostkowski
2,2,3,4,48,Graham Gano
1,2,0,0,42,Justin Tucker
2,3,2,2,49,Chris Boswell
1,2,5,5,44,Blair Walsh
1,1,1,1,40,Adam Vinatieri
3,3,6,7,50,Kaimi Fairbairn
0,0,2,2,0,Ryan Succop
0,1,1,1,0,Kai Forbath
2,3,0,0,37,Matt Prater
3,4,2,2,43,Harrison Butker
2,2,2,2,40,Dustin Hopkins
0,3,2,2,0,Nick Folk
4,4,1,1,48,Stephen Gostkowski
2,2,2,2,30,Randy Bullock
3,3,1,1,38,Stephen Hauschka
0,2,2,2,0,Zane Gonzalez
1,1,2,2,57,Chandler Catanzaro
4,4,2,2,52,Adam Vinatieri
3,3,2,2,43,Robbie Gould
1,1,4,4,43,Dan Bailey
1,1,2,4,22,Mason Crosby
1,1,1,2,41,Cody Parkey
1,1,1,1,45,Ryan Succop
2,2,4,4,36,Jake Elliott
0,1,1,1,0,Phil Dawson
0,0,2,2,0,Aldrick Rosas
2,2,3,3,31,Nick Novak
1,1,3,3,30,Matt Prater
2,3,3,3,44,Graham Gano
1,1,2,2,32,Giorgio Tavecchio
3,3,3,3,44,Justin Tucker
1,2,1,1,35,Greg Zuerlein
3,3,1,1,49,Blair Walsh
3,3,0,0,34,Chris Boswell
1,1,3,4,47,Jason Myers
0,0,2,2,0,Kaimi Fairbairn
5,5,3,3,49,Harrison Butker
0,0,1,1,0,Connor Barth
2,2,2,2,26,Kai Forbath
3,3,2,2,46,Graham Gano
2,2,2,2,50,Jake Elliott
1,3,1,1,28,Brandon McManus
3,4,2,2,51,Aldrick Rosas
1,1,5,5,28,Phil Dawson
0,0,1,1,0,Patrick Murray
2,2,1,1,46,Harrison Butker
1,1,2,2,24,Chris Boswell
1,2,2,2,50,Matt Bryant
2,2,2,2,49,Cody Parkey
1,3,2,2,41,Jason Myers
2,2,3,3,56,Greg Zuerlein
1,1,2,2,28,Chandler Catanzaro
1,2,3,3,28,Stephen Gostkowski
1,1,1,2,44,Giorgio Tavecchio
1,2,2,2,32,Nick Novak
3,3,1,1,50,Justin Tucker
2,2,3,3,40,Connor Barth
2,2,2,3,48,Dustin Hopkins
1,2,3,3,52,Robbie Gould
1,1,7,7,41,Wil Lutz
1,2,5,5,41,Matt Prater
1,1,2,3,40,Kaimi Fairbairn
1,1,2,2,41,Zane Gonzalez
3,3,2,2,53,Kai Forbath
1,1,1,1,26,Mason Crosby
5,5,3,3,48,Ryan Succop
3,3,1,2,52,Adam Vinatieri
1,3,4,4,26,Giorgio Tavecchio
3,3,3,3,53,Harrison Butker
1,2,2,2,19,Connor Barth
1,1,0,0,36,Graham Gano
3,4,3,3,52,Stephen Hauschka
2,2,3,3,50,Patrick Murray
3,3,0,0,54,Zane Gonzalez
4,5,0,0,47,Ryan Succop
0,0,3,3,0,Nick Novak
2,2,3,3,42,Josh Lambo
1,1,4,4,39,Cody Parkey
0,0,4,4,0,Chandler Catanzaro
1,1,1,1,42,Robbie Gould
0,0,2,2,0,Dan Bailey
0,0,2,3,0,Jeff Heath
0,1,1,1,0,Aldrick Rosas
1,1,3,3,39,Blair Walsh
1,2,2,2,46,Mason Crosby
2,2,2,3,44,Wil Lutz
3,3,2,2,38,Stephen Gostkowski
0,2,1,1,0,Matt Bryant
4,4,3,3,53,Greg Zuerlein
0,1,0,0,0,Phil Dawson
5,5,2,2,49,Chris Boswell
0,0,2,2,0,Randy Bullock
6,6,0,1,52,Kai Forbath
3,3,1,1,57,Justin Tucker
