average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
22.000,,0,1,22,Luke Lawton
21.000,,0,3,30,Lance Moore
8.000,,0,1,8,Josh Cooper
8.000,,0,1,8,Billy Miller
22.000,,0,1,22,Adrian Peterson
19.000,,0,5,31,Adam Jennings
29.000,,0,5,84,Dante Hall
21.000,,0,3,25,Ryne Robinson
28.000,,0,4,48,Terrence McGee
24.000,,0,3,33,Domenik Hixon
25.000,,0,2,26,Jerome Mathis
26.000,,0,3,28,Eddie Drummond
23.000,,0,2,29,Benny Sapp
25.000,,0,2,26,Rock Cartwright
23.000,,0,3,34,Ted Ginn
22.000,,0,5,32,Leon Washington
26.000,,0,1,26,Justin Miller
52.000,,1,3,108,Ellis Hobbs
25.000,,0,4,30,Tramon Williams
22.000,,0,3,26,JR Reed
16.000,,0,1,16,Correll Buckhalter
24.000,,0,4,32,Josh Cribbs
22.000,,0,2,23,Allen Rossum
35.000,,0,2,42,Matt Jones
17.000,,0,2,30,Michael Griffin
14.000,,0,1,14,Ben Hartsock
22.000,,0,1,22,Darren Sproles
15.000,,0,1,15,Michael Turner
20.000,,0,2,21,Danieal Manning
29.000,,0,1,29,Devin Hester
22.000,,0,7,35,Chris Carr
33.000,,0,1,33,Brian Calhoun
17.000,,0,2,19,Nate Burleson
3.000,,0,1,3,Josh Wilson
22.000,,0,4,31,Earnest Graham
30.000,,0,5,46,Tyson Thompson
13.000,,0,1,13,Patrick Crayton
16.000,,0,1,16,Tony Curtis
27.000,,0,7,39,Ahmad Bradshaw
23.000,,0,4,26,Tab Perry
28.000,,0,5,47,BJ Sams
22.000,,0,4,33,Maurice Hicks
21.000,,0,3,23,Steve Breaston
17.000,,0,2,17,JJ Arrington
22.000,,0,2,28,Jerious Norwood
29.000,,0,2,31,Allen Rossum
28.000,,0,6,63,Terrence McGee
7.000,,0,1,7,Ryan Neufeld
36.000,,0,5,85,Josh Cribbs
11.000,,0,1,11,Darnell Dinkins
1.000,,0,1,1,Lennie Friedman
29.000,,0,6,65,Glenn Holt
17.000,,0,3,26,Tab Perry
15.000,,0,1,15,Reggie Kelly
21.000,,0,3,25,Reuben Droughns
20.000,,0,2,27,Ahmad Bradshaw
34.000,,0,2,42,Tramon Williams
15.000,,0,1,15,DeShawn Wynn
20.000,,0,5,29,Nick Goings
18.000,,0,2,19,Jerome Mathis
12.000,,0,1,12,Jameel Cook
25.000,,0,5,30,Michael Griffin
26.000,,0,4,36,TJ Rushing
23.000,,0,1,23,Michael Clayton
3.000,,0,1,3,Ike Hilliard
36.000,,0,1,36,Mark Jones
16.000,,0,3,21,Lance Moore
10.000,,0,1,10,Antwan Lake
18.000,,0,3,20,Dante Hall
20.000,,0,5,32,Maurice Hicks
20.000,,0,6,31,Ted Ginn
0.000,,0,0,0,Rob Ninkovich
24.000,,0,1,24,Miles Austin
0.000,,0,1,0,Tony Curtis
18.000,,0,1,18,Tyson Thompson
16.000,,0,3,22,Brian Calhoun
27.000,,0,3,56,Troy Williamson
60.000,,0,1,60,Aundrae Allison
19.000,,0,1,19,Steve Breaston
19.000,,0,2,22,Alvin Pearman
0.000,,0,0,3,Josh Wilson
14.000,,0,2,19,Devin Hester
19.000,,0,5,24,Eddie Drummond
44.000,,0,2,61,Yamon Figurs
10.000,,0,1,10,Chris Baker
12.000,,0,1,12,Justin McCareins
22.000,,0,1,22,Justin Miller
28.000,,0,1,28,Wallace Wright
20.000,,0,3,28,Chris Carr
22.000,,0,3,28,Ellis Hobbs
24.000,,0,4,28,Michael Turner
20.000,,0,1,20,Darren Sproles
0.000,,0,0,0,Jacques Cesaire
25.000,,0,4,28,Correll Buckhalter
14.000,,0,1,14,Montae Reagor
26.000,,0,5,33,Rock Cartwright
32.000,,0,2,35,Yamon Figurs
21.000,,0,3,24,JJ Arrington
33.000,,0,1,33,Steve Breaston
33.000,,0,1,33,Ellis Hobbs
0.000,,0,0,0,David Thomas
22.000,,0,5,29,Josh Scobey
20.000,,0,4,25,Correll Buckhalter
24.000,,0,5,31,Brian Calhoun
29.000,,0,1,29,Troy Walters
33.000,,1,7,84,Jerome Mathis
26.000,,0,4,47,TJ Rushing
22.000,,0,1,22,Luke Lawton
27.000,,0,2,27,Brad Smith
55.000,,1,2,98,Leon Washington
14.000,,0,1,14,Jerricho Cotchery
26.000,,0,3,39,Ted Ginn
27.000,,0,2,36,Eddie Drummond
20.000,,0,3,23,Aundrae Allison
14.000,,0,4,24,Tramon Williams
25.000,,0,3,39,Darren Sproles
60.000,,1,2,98,Allen Rossum
12.000,,0,1,12,Najeh Davenport
21.000,,0,4,23,Maurice Hicks
