average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
11.000,,11,Stefan Logan,0,1
3.000,,11,Cortland Finnegan,0,4
10.000,,18,Eric Weems,0,3
5.000,,7,Davone Bess,0,2
3.000,,7,Chris Carr,0,2
2.000,,2,Ed Reed,0,1
0.000,,0,Maurice Leggett,0,1
0.000,,0,Bobby Engram,0,0
16.000,,26,Captain Munnerlyn,0,2
53.000,,85,DeSean Jackson,1,2
9.000,,14,Quan Cosby,0,5
5.000,,10,Eddie Royal,0,3
22.000,,67,Josh Cribbs,1,3
27.000,,36,Darius Reynaud,0,2
0.000,,0,Jacoby Jones,0,0
8.000,,12,Leon Washington,0,2
18.000,,18,Jim Leonhard,0,1
5.000,,5,TJ Rushing,0,1
0.000,,0,Brian Witherspoon,0,0
3.000,,11,Reggie Bush,0,3
27.000,,43,Dennis Northcutt,0,2
9.000,,14,Clifton Smith,0,3
3.000,,3,Patrick Crayton,0,1
0.000,,0,Terence Newman,0,1
11.000,,27,Antrel Rolle,0,5
7.000,,14,Allen Rossum,0,4
0.000,,7,Nate Clements,0,0
0.000,,0,Domenik Hixon,0,1
1.000,,1,Santana Moss,0,1
7.000,,11,Nate Burleson,0,2
7.000,,9,Justin Forsett,0,2
24.000,,24,Derek Stanley,0,1
7.000,,14,Jordy Nelson,0,2
7.000,,10,Devin Hester,0,2
10.000,,11,Wes Welker,0,2
5.000,,5,Roscoe Parrish,0,1
12.000,,19,Johnnie Lee Higgins,0,3
3.000,,8,Darren Sproles,0,3
8.000,,10,Captain Munnerlyn,0,2
7.000,,7,Dennis Northcutt,0,1
11.000,,13,Darius Reynaud,0,2
0.000,,0,Will Blackmon,0,0
22.000,,60,Quan Cosby,0,5
11.000,,11,Nate Hughes,0,1
0.000,,0,Antrel Rolle,0,1
0.000,,0,Greg Toler,0,1
9.000,,18,Bobby Wade,0,6
0.000,,0,Javon Walker,0,1
0.000,,0,Sam Williams,0,1
0.000,,0,Hiram Eugene,0,0
12.000,,16,Jim Leonhard,0,2
2.000,,2,Julian Edelman,0,1
1.000,,1,Kevin Faulk,0,1
2.000,,4,DeSean Jackson,0,2
-1.000,,3,Reggie Bush,0,2
6.000,,15,Ryan Mouton,0,4
7.000,,16,Jacoby Jones,0,2
15.000,,15,Antwaan Randle El,0,1
6.000,,7,Derek Stanley,0,2
7.000,,14,Allen Rossum,0,5
15.000,,19,Nate Burleson,0,2
5.000,,11,Justin Forsett,0,2
5.000,,15,Roscoe Parrish,0,3
0.000,,16,Ashton Youboty,0,0
5.000,,5,Clifton Smith,0,1
7.000,,12,Devin Hester,0,2
