average punt yards, longest punt, name, punts, punts inside the twenty
36.300,49,Josh Miller,6,3
39.000,58,Shane Lechler,8,3
39.800,45,Dave Zastudil,4,0
32.000,50,Hunter Smith,7,4
31.400,58,Brian Moorman,5,1
38.800,51,Chad Stanley,5,1
35.000,35,Jason Baker,1,0
43.500,54,Mitch Berger,2,2
36.500,56,Kyle Richardson,2,0
34.000,57,Kyle Larson,3,0
39.100,48,Nick Harris,7,4
39.300,49,BJ Sander,6,0
42.800,58,Chris Hanson,4,4
37.200,53,Leo Araguz,5,0
44.500,50,Dustin Colquitt,2,0
44.300,51,Ben Graham,3,1
36.300,49,Donnie Jones,3,0
30.600,56,Todd Sauerbrun,7,0
42.500,62,Chris Kluwe,4,0
37.800,52,Josh Bidwell,6,1
42.800,56,Jeff Feagles,6,4
29.100,53,Scott Player,7,1
35.700,49,Chris Gardocki,3,1
36.000,53,Craig Hentrich,2,1
30.500,45,Mike Scifres,2,0
33.000,42,Mat McBriar,3,0
38.600,47,Andy Lee,5,1
14.300,44,Reggie Hodges,4,1
32.000,39,Andy Groom,3,0
41.000,49,Brad Maynard,7,3
33.300,59,Michael Koenen,7,1
42.600,47,Dirk Johnson,5,3
43.800,55,Scott Player,5,0
40.100,55,Reggie Hodges,7,1
39.300,53,Jason Baker,7,4
29.700,56,Josh Miller,7,0
31.800,48,Brad Maynard,4,1
21.500,48,Nick Harris,4,1
40.000,55,Kyle Larson,3,1
41.700,52,Chris Kluwe,3,2
44.000,52,Todd Sauerbrun,3,3
34.800,54,Mike Scifres,6,0
38.000,50,BJ Sander,3,2
42.300,48,Kyle Richardson,4,3
39.600,55,Hunter Smith,7,3
41.000,58,Chris Hanson,7,3
40.400,54,Ben Graham,7,1
38.900,56,Donnie Jones,7,3
32.500,46,Dirk Johnson,2,0
41.300,51,Andy Lee,7,3
43.000,56,Shane Lechler,4,1
22.000,49,Dustin Colquitt,3,1
36.700,50,Leo Araguz,6,1
20.000,20,Josh Brown,1,1
41.100,67,Michael Koenen,7,2
36.200,61,Josh Bidwell,6,1
30.700,60,Brian Moorman,7,0
36.800,56,Craig Hentrich,8,4
35.800,53,Dave Zastudil,9,1
37.800,51,Chad Stanley,4,2
33.000,39,Chris Gardocki,1,0
40.000,58,Mat McBriar,6,3
35.900,57,Andy Groom,8,2
38.800,51,Jeff Feagles,5,2
37.700,49,Mitch Berger,3,1
42.300,60,Brian Moorman,3,1
30.000,48,Michael Koenen,4,2
39.300,51,Brad Maynard,6,0
36.400,55,Kyle Larson,9,2
37.500,50,BJ Sander,2,0
40.200,57,Josh Bidwell,6,1
36.000,47,Hunter Smith,3,2
39.800,54,Kyle Richardson,5,1
41.800,55,Donnie Jones,6,3
40.600,52,Jason Baker,5,2
42.600,59,Chris Kluwe,5,2
40.300,50,Mitch Berger,6,3
44.100,58,Ben Graham,7,3
47.200,58,Chris Hanson,6,4
34.900,58,Dirk Johnson,7,3
38.500,50,Shane Lechler,6,1
34.200,56,Chris Gardocki,5,0
19.000,39,Ben Roethlisberger,1,0
40.000,49,Josh Miller,4,1
43.500,50,Mike Scifres,2,0
41.500,54,Jeff Feagles,4,1
32.300,39,Leo Araguz,4,2
41.800,56,Scott Player,5,1
38.200,48,Andy Lee,5,1
32.000,52,Mat McBriar,3,0
37.500,48,Reggie Hodges,4,0
43.000,51,Craig Hentrich,5,3
45.000,55,Todd Sauerbrun,1,0
34.300,52,Dustin Colquitt,6,2
36.000,51,Scott Player,3,0
36.600,58,Andy Lee,7,1
35.000,39,Michael Koenen,3,2
43.200,51,Chris Kluwe,5,1
39.800,51,Dave Zastudil,5,1
31.600,57,Ben Graham,9,2
45.500,53,Kyle Larson,2,1
34.500,45,Chad Stanley,4,2
36.700,51,Chris Hanson,6,3
42.500,56,Todd Sauerbrun,4,2
42.500,62,Dustin Colquitt,4,1
38.000,43,Dirk Johnson,3,1
35.000,57,Josh Miller,4,0
34.300,53,Mike Scifres,3,0
38.000,54,Mitch Berger,4,3
48.400,59,Brian Moorman,5,2
32.000,47,Jeff Feagles,2,0
28.500,39,Reggie Hodges,2,0
40.300,59,Shane Lechler,4,1
37.800,56,Mat McBriar,5,1
38.300,50,Josh Bidwell,3,1
40.300,49,Nick Harris,6,3
37.700,44,Craig Hentrich,3,0
45.000,56,Hunter Smith,2,0
32.500,42,Derrick Frost,2,1
30.000,46,Leo Araguz,3,1
37.400,53,Jason Baker,5,1
42.000,53,BJ Sander,5,2
42.300,44,Scott Player,3,1
36.200,52,Jason Baker,5,2
42.000,53,Michael Koenen,7,2
42.200,53,Josh Miller,6,3
44.700,63,Brian Moorman,6,3
40.300,51,Donnie Jones,3,1
38.000,47,Kyle Richardson,6,2
36.000,56,Brad Maynard,4,1
41.000,43,Mat McBriar,2,0
36.800,54,Dirk Johnson,8,1
38.400,65,Todd Sauerbrun,7,2
36.800,49,Derrick Frost,5,3
40.300,52,Nick Harris,4,1
22.300,53,Dave Zastudil,4,0
34.500,49,BJ Sander,6,1
43.800,56,Mitch Berger,6,2
34.200,44,Chris Hanson,5,1
34.700,75,Kyle Larson,5,2
38.800,50,Ben Graham,4,1
42.000,59,Josh Bidwell,5,0
38.400,50,Andy Lee,5,1
38.000,45,Hunter Smith,2,1
27.600,42,Reggie Hodges,5,1
15.000,35,Jeff Wilkins,1,0
39.300,54,Tom Rouen,6,4
43.800,61,Chad Stanley,5,1
41.500,54,Craig Hentrich,4,0
48.300,52,Mike Scifres,4,2
37.500,65,Chris Gardocki,6,2
40.000,60,Dave Zastudil,5,1
31.300,61,Kyle Richardson,6,2
32.500,49,Brian Moorman,4,1
33.800,56,Ben Graham,5,0
36.600,45,Brad Maynard,5,0
33.700,55,Chris Kluwe,6,0
40.300,51,Mat McBriar,3,2
40.400,47,Jeff Feagles,5,4
46.900,66,Todd Sauerbrun,7,2
47.600,58,Josh Miller,7,3
39.800,50,Nick Harris,5,2
37.200,51,Jason Baker,5,1
33.600,42,Dustin Colquitt,5,2
41.300,54,Derrick Frost,4,0
36.500,41,Mitch Berger,2,1
45.500,54,Michael Koenen,4,0
25.800,43,Chris Gardocki,6,1
32.000,49,Chris Hanson,9,2
45.000,55,Shane Lechler,6,3
40.400,51,Mike Scifres,7,4
41.000,41,Tom Rouen,1,1
34.500,43,Chad Stanley,6,2
38.900,61,Josh Bidwell,7,5
41.000,51,Donnie Jones,5,1
8.000,8,Olindo Mare,1,0
39.300,52,Craig Hentrich,3,2
29.000,57,Kyle Larson,4,0
36.000,36,Hunter Smith,1,0
33.500,55,Bryan Barker,2,1
43.500,60,Donnie Jones,8,1
34.400,56,Dustin Colquitt,5,3
39.700,60,Scott Player,10,0
38.000,50,Craig Hentrich,7,3
35.900,45,Brad Maynard,7,2
38.100,50,Dave Zastudil,9,1
32.500,39,Kyle Larson,4,0
41.500,44,Chris Gardocki,2,1
31.000,47,Kyle Richardson,6,1
33.200,47,Nick Harris,5,2
39.000,43,Chris Kluwe,2,1
42.300,50,BJ Sander,3,2
41.500,49,Jeff Feagles,4,2
34.300,39,Todd Sauerbrun,3,3
38.200,59,Dirk Johnson,6,2
41.600,50,Mike Scifres,7,2
38.300,54,Shane Lechler,3,0
37.300,53,Brian Moorman,4,1
35.300,59,Tom Rouen,9,2
37.300,54,Mat McBriar,9,5
35.400,50,Bryan Barker,5,0
37.500,48,Mitch Berger,4,3
34.800,44,Chad Stanley,4,3
36.500,51,Derrick Frost,4,2
34.400,54,Andy Lee,7,0
30.800,49,Michael Koenen,4,1
43.200,55,Ben Graham,5,1
35.500,48,Jason Baker,2,0
39.800,56,Chris Kluwe,5,0
35.500,55,Kyle Larson,6,1
34.000,49,BJ Sander,3,1
33.700,55,Mat McBriar,3,0
37.800,48,Scott Player,5,1
32.100,47,Todd Sauerbrun,7,2
42.100,50,Dirk Johnson,8,1
39.700,59,Nick Harris,7,3
35.000,43,Brad Maynard,8,3
39.800,57,Josh Miller,5,3
33.000,49,Brian Moorman,2,1
40.600,55,Mitch Berger,5,1
36.000,59,Donnie Jones,4,1
39.800,54,Jeff Feagles,4,0
37.800,55,Derrick Frost,8,2
36.800,55,Mike Scifres,6,1
34.800,53,Dustin Colquitt,6,2
37.800,49,Andy Lee,9,2
36.400,55,Josh Bidwell,8,1
31.600,51,Bryan Barker,5,1
25.700,47,Chris Hanson,2,1
35.000,54,Craig Hentrich,3,0
39.000,57,Shane Lechler,3,1
33.800,50,Chad Stanley,4,1
23.000,53,Kyle Richardson,4,0
39.500,49,Chris Gardocki,2,0
33.000,33,Ben Roethlisberger,1,1
41.000,41,Dave Zastudil,1,0
36.000,36,Scott Player,1,0
32.800,48,Tom Rouen,4,0
36.700,56,Dave Zastudil,3,1
37.000,49,Kyle Larson,2,1
34.400,54,Kyle Richardson,5,3
30.400,49,Craig Hentrich,7,0
44.700,53,BJ Sander,3,0
29.300,49,Chris Gardocki,4,0
37.800,41,Chris Hanson,6,3
42.400,55,Chad Stanley,5,3
43.000,49,Dustin Colquitt,5,3
40.600,53,Shane Lechler,5,2
43.300,54,Donnie Jones,6,3
38.000,48,Michael Koenen,3,1
40.400,61,Chris Kluwe,5,1
45.800,60,Nick Harris,5,2
38.700,55,Mitch Berger,7,2
44.200,59,Brad Maynard,6,3
43.500,46,Ben Graham,2,0
40.000,60,Mike Scifres,2,0
39.600,49,Andy Lee,7,1
39.800,52,Jeff Feagles,5,1
40.500,59,Josh Bidwell,6,1
38.700,59,Jason Baker,6,0
38.700,50,Derrick Frost,6,2
34.600,47,Reggie Hodges,7,2
47.700,55,Josh Miller,3,1
20.000,49,Hunter Smith,1,0
36.600,53,Michael Koenen,5,2
30.700,46,BJ Sander,3,0
45.400,53,Brian Moorman,5,3
35.300,50,Dustin Colquitt,3,3
41.300,45,Jason Baker,3,0
33.700,50,Ben Graham,3,1
33.800,45,Brad Maynard,5,1
36.000,44,Andy Lee,7,1
38.800,55,Nick Harris,6,2
35.000,49,Scott Player,4,3
42.700,51,Hunter Smith,3,2
35.700,44,Chad Stanley,6,1
27.400,44,Chris Hanson,5,1
36.100,57,Dave Zastudil,7,0
42.000,58,Donnie Jones,6,2
41.500,59,Josh Miller,6,3
25.200,48,Jeff Feagles,5,1
31.100,61,Chris Kluwe,8,2
43.500,54,Chris Gardocki,2,2
33.000,46,Kyle Richardson,4,1
32.200,59,Shane Lechler,5,2
37.000,52,Todd Sauerbrun,4,1
34.300,44,Tom Rouen,3,0
32.000,46,Bryan Barker,2,1
39.500,50,Josh Bidwell,4,0
39.500,46,Derrick Frost,2,1
37.900,51,Reggie Hodges,7,2
33.200,62,Mat McBriar,9,2
37.500,40,Michael Koenen,2,0
43.700,59,Josh Bidwell,3,2
37.300,52,Dave Zastudil,8,2
32.600,57,Chris Gardocki,8,1
32.900,51,Brad Maynard,7,1
41.100,55,Jason Baker,7,3
18.000,18,Kyle Larson,1,0
39.000,41,Hunter Smith,2,1
25.300,42,Kyle Richardson,4,1
29.800,60,Donnie Jones,6,1
34.300,46,Mat McBriar,3,3
30.800,48,Nick Harris,5,1
40.000,49,Todd Sauerbrun,2,0
50.000,58,Ben Graham,3,3
37.800,57,Josh Miller,5,0
26.500,38,Mitch Berger,4,2
34.500,45,Jeff Feagles,6,3
27.200,43,Reggie Hodges,5,2
53.000,53,Mike Scifres,1,1
43.500,60,Brian Moorman,4,1
40.000,52,Andy Lee,4,0
36.600,55,Tom Rouen,5,3
32.300,48,Bryan Barker,3,0
30.500,35,Scott Player,2,1
38.800,57,Craig Hentrich,8,2
45.200,74,Chris Hanson,6,1
39.000,44,Chad Stanley,4,1
25.500,48,Dustin Colquitt,4,1
34.000,44,Derrick Frost,6,3
41.200,50,Shane Lechler,5,3
30.600,48,BJ Sander,7,1
34.400,42,Chris Kluwe,5,2
42.000,55,Mat McBriar,5,2
43.000,54,Todd Sauerbrun,7,2
34.000,57,Nick Harris,4,2
35.300,53,Michael Koenen,4,0
37.800,45,Scott Player,4,1
29.000,51,Chris Hanson,4,1
37.000,55,Brian Moorman,4,2
40.500,44,Jason Baker,2,1
31.000,47,Kyle Larson,3,2
36.800,51,Dave Zastudil,4,0
32.000,32,Aaron Elling,1,1
33.000,43,Dustin Colquitt,3,1
41.700,54,Josh Miller,3,1
36.300,49,Chris Kluwe,6,0
33.000,34,Kyle Richardson,3,1
31.000,31,Phil Dawson,1,1
30.300,49,Ben Graham,3,0
36.200,50,Mitch Berger,5,2
33.700,44,Nick Murphy,7,1
31.000,45,BJ Sander,7,1
30.800,56,Shane Lechler,6,0
47.000,54,Donnie Jones,4,3
37.800,54,Tom Rouen,9,2
34.400,52,Jeff Feagles,7,1
35.900,52,Josh Bidwell,7,2
35.500,52,Brad Maynard,8,2
36.800,56,Craig Hentrich,5,0
39.400,52,Andy Lee,8,0
28.500,47,Chad Stanley,2,0
34.000,52,Bryan Barker,4,1
34.300,44,Derrick Frost,9,0
37.800,54,Mike Scifres,6,3
34.000,58,Hunter Smith,5,2
33.300,55,Chris Gardocki,6,1
33.900,47,Dave Zastudil,8,1
35.000,42,Chad Stanley,6,3
42.700,55,Jason Baker,6,3
16.000,36,John Kasay,1,0
32.300,47,Michael Koenen,6,0
41.500,63,Brad Maynard,6,2
27.700,50,BJ Sander,7,0
36.000,50,Kyle Richardson,5,0
22.000,22,Phil Dawson,1,1
41.300,47,Chris Hanson,4,2
42.200,55,Nick Harris,5,2
23.000,51,Chris Kluwe,4,0
37.500,40,Paul Edinger,2,1
44.000,56,Hunter Smith,2,0
33.000,51,Craig Hentrich,2,0
27.500,41,Dustin Colquitt,2,0
44.000,57,Todd Sauerbrun,2,0
31.400,52,Donnie Jones,7,4
42.400,53,Brian Moorman,8,1
39.500,55,Josh Miller,4,0
39.200,49,Ben Graham,6,3
35.000,52,Mitch Berger,4,2
31.000,51,Josh Bidwell,5,1
39.700,51,Jeff Feagles,6,2
39.100,52,Mat McBriar,7,3
31.000,37,Chris Gardocki,3,2
37.200,56,Kyle Larson,5,0
43.000,71,Mike Scifres,4,3
34.000,52,Shane Lechler,4,1
36.000,47,Andy Lee,5,1
26.000,39,Scott Player,4,3
41.900,63,Bryan Barker,8,3
37.300,51,Derrick Frost,4,1
33.500,43,Sean Landeta,8,1
28.800,51,Tom Rouen,9,3
36.000,52,Scott Player,3,1
36.200,52,Derrick Frost,5,1
37.300,68,Brian Moorman,6,2
24.800,49,Josh Miller,4,0
33.000,51,Jason Baker,4,0
29.300,58,Josh Bidwell,6,2
33.000,43,Kyle Larson,3,0
34.300,47,Kyle Richardson,3,2
40.500,52,Mat McBriar,4,2
15.000,35,Billy Cundiff,1,0
38.600,44,Dustin Colquitt,5,3
31.600,55,Todd Sauerbrun,5,2
24.300,53,Dave Zastudil,3,0
31.800,50,BJ Sander,5,0
39.500,51,Nick Harris,6,2
38.200,47,Chris Hanson,5,2
31.300,55,Hunter Smith,3,1
34.400,53,Darren Bennett,8,1
38.000,54,Bryan Barker,5,3
40.300,45,Ben Graham,4,1
36.300,49,Shane Lechler,3,2
32.500,41,Sean Landeta,4,0
21.000,44,Jeff Feagles,2,1
32.300,56,Chris Gardocki,6,4
34.700,52,Brad Maynard,6,0
9.000,28,Robbie Gould,1,0
29.800,55,Mike Scifres,4,3
34.700,45,Donnie Jones,3,0
39.000,44,Tom Rouen,2,1
36.300,49,Andy Lee,8,1
39.400,59,Craig Hentrich,5,1
26.900,51,Chad Stanley,9,3
40.200,55,Michael Koenen,6,3
41.900,65,Mitch Berger,8,2
35.200,52,Brian Moorman,6,1
30.500,38,Todd Sauerbrun,4,2
34.800,44,Josh Miller,6,3
36.600,49,Josh Bidwell,7,2
36.700,46,Jeff Feagles,3,2
39.200,48,Dustin Colquitt,5,4
33.000,53,Brad Maynard,7,1
34.000,50,Michael Koenen,6,4
39.700,51,Nick Harris,3,1
51.000,51,Kyle Larson,1,1
37.000,55,Hunter Smith,6,1
35.300,54,Mike Scifres,4,2
31.600,51,Chris Hanson,8,2
36.300,50,Andy Lee,8,1
40.400,52,Donnie Jones,7,2
33.000,53,Ben Graham,5,1
18.000,18,Mike Nugent,1,1
30.300,51,Chris Kluwe,6,2
40.200,58,Chris Gardocki,6,3
43.300,69,Mitch Berger,4,0
42.000,51,Jason Baker,4,3
38.200,56,Shane Lechler,6,2
38.800,57,Kyle Richardson,5,2
34.900,56,Bryan Barker,7,2
37.800,55,Sean Landeta,6,0
42.500,50,Craig Hentrich,2,0
28.500,43,Tom Rouen,2,1
38.500,53,Chad Stanley,4,1
42.300,56,Scott Player,4,2
29.200,42,Derrick Frost,6,3
35.200,52,Mat McBriar,6,1
39.000,48,Dave Zastudil,4,2
