assists, faceoffs lost, faceoffs won, goals, minutes, minutes even, minutes power play, minutes short handed, name, number, penalty minutes, plus minus, points, position, power play goals, shifts, short handed goals, shots on goal
0,,,0,0,0,0,0,Andrew Hammond,30,0,,0,G,0,,0,0
0,,,0,60,48,4,8,Craig Anderson,41,0,,0,G,0,,0,0
0,,,0,22,17,1,3,Dion Phaneuf,2,2,-1,0,D,0,35,0,0
0,,,0,22,18,0,3,Marc Methot,3,0,2,0,D,0,34,0,2
0,,,0,23,17,1,4,Cody Ceci,5,0,-1,0,D,0,32,0,3
0,,,0,12,11,0,0,Chris Wideman,6,2,-1,0,D,0,20,0,0
0,9,8,2,21,17,1,2,Kyle Turris,7,0,0,2,C,0,31,0,4
1,,,1,14,12,2,0,Bobby Ryan,9,0,0,2,RW,0,22,0,3
0,,,0,13,9,0,3,Tom Pyatt,10,0,0,0,LW,0,24,0,1
1,1,6,0,15,12,1,1,Zack Smith,15,2,1,1,C,0,26,0,0
0,,,0,7,6,0,0,Ryan Dzingel,18,0,1,0,LW,0,12,0,0
1,12,9,1,16,14,2,0,Derick Brassard,19,0,0,2,C,0,25,0,2
0,6,4,0,13,10,0,3,Chris Kelly,22,0,0,0,C,0,22,0,1
0,,,0,5,5,0,0,Chris Neil,25,2,0,0,RW,0,12,0,2
0,6,3,0,14,11,0,3,Jean Gabriel Pageau,44,0,0,0,C,0,24,0,1
2,,,0,21,19,2,0,Mark Stone,61,0,1,2,RW,0,25,0,2
2,,,1,27,21,2,3,Erik Karlsson,65,0,3,3,D,0,39,0,8
0,,,0,16,14,2,0,Mike Hoffman,68,0,-1,0,LW,0,19,0,1
0,,,0,10,10,0,0,Mark Borowiecki,74,5,-1,0,D,0,17,0,0
0,0,2,0,10,9,1,0,Phil Varone,81,0,0,0,C,0,17,0,0
0,,,0,0,0,0,0,Scott Darling,33,0,,0,G,0,,0,0
0,,,0,57,43,7,6,Corey Crawford,50,0,,0,G,0,,0,0
0,,,0,25,17,4,3,Duncan Keith,2,2,-1,0,D,0,26,0,1
0,,,0,18,16,0,2,Michal Kempny,6,0,-1,0,D,0,24,0,0
0,,,0,26,18,4,4,Brent Seabrook,7,0,-1,0,D,0,31,0,0
0,4,1,0,8,8,0,0,Nick Schmaltz,8,0,0,0,LW,0,13,0,0
0,1,0,1,15,12,2,0,Richard Panik,14,0,-1,1,LW,1,23,0,2
0,12,5,0,22,17,3,1,Artem Anisimov,15,2,-2,0,C,0,25,0,2
1,6,5,0,11,7,0,3,Marcus Kruger,16,0,1,1,C,0,17,0,0
1,10,11,0,19,13,3,2,Jonathan Toews,19,2,-1,1,C,0,28,0,2
0,,,0,4,4,0,0,Jordin Tootoo,22,0,0,0,RW,0,10,0,0
