assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
1,0,3,4,3,3,2,2,19.033,DeLisha Milton Jones,2,3,8,5,0,0,0,3
3,3,8,16,8,1,6,2,37.117,Candace Parker,2,13,19,10,1,2,1,0
1,1,1,10,5,2,4,4,23.083,Tina Thompson,3,2,15,4,0,5,1,0
4,1,4,10,4,1,0,0,30.400,Noelle Quinn,1,14,11,5,1,6,3,0
2,0,1,1,0,2,0,0,20.050,Ticha Penicheiro,1,-3,0,2,0,0,0,3
2,0,5,8,2,0,2,2,20.967,Ebony Hoffman,4,5,6,9,1,1,0,0
2,0,2,3,1,2,0,0,7.567,Natasha Lacy,1,0,2,3,0,0,0,6
2,0,1,8,4,2,0,0,21.983,Kristi Toliver,0,5,10,1,1,6,2,2
0,0,0,1,1,0,0,0,2.883,Jantel Lavender,0,-5,2,0,0,0,0,0
0,0,2,5,3,2,0,0,16.917,Jenna OHea,0,6,9,2,0,4,3,0
4,0,4,17,7,2,3,3,29.033,Maya Moore,0,-4,21,4,0,11,4,2
4,0,7,10,5,0,0,0,32.783,Rebekkah Brunson,5,-3,10,12,0,0,0,1
4,1,2,10,4,6,0,0,32.233,Taj McWilliams Franklin,4,7,8,6,1,0,0,0
2,0,1,11,3,1,0,0,28.150,Seimone Augustus,0,0,6,1,3,2,0,2
5,0,3,9,5,4,3,1,29.050,Lindsay Whalen,0,-7,11,3,1,0,0,2
2,0,3,2,1,1,0,0,9.950,Alexis Hornbuckle,0,-2,3,3,0,1,1,1
0,0,2,2,1,0,0,0,9.083,Charde Houston,1,-14,3,3,0,1,1,1
1,0,0,5,2,0,2,2,17.683,Candice Wiggins,1,-14,8,1,1,3,2,1
1,0,0,3,1,1,0,0,6.867,Monica Wright,0,3,2,0,0,1,0,0
0,0,0,2,0,0,2,2,5.167,Amber Harris,0,-6,2,0,0,0,0,0
2,0,2,8,4,5,2,2,29.650,Swin Cash,2,-4,10,4,0,1,0,3
1,1,4,13,8,3,2,2,26.150,Camille Little,5,8,18,9,3,0,0,1
1,0,6,9,4,3,6,6,30.500,Lauren Jackson,1,13,15,7,1,1,1,3
10,0,4,12,5,2,4,3,35.817,Sue Bird,0,9,13,4,3,1,0,4
3,0,6,6,1,1,0,0,26.767,Tanisha Wright,0,9,3,6,0,2,1,4
2,0,3,10,3,1,0,0,27.717,Katie Smith,1,7,8,4,1,5,2,2
1,0,2,6,3,1,4,3,16.200,Lecoe Willingham,2,-1,9,4,0,1,0,1
0,0,0,0,0,0,0,0,0.850,Ify Ibekwe,0,0,0,0,0,0,0,0
0,1,0,3,1,1,0,0,6.350,Ashley Robinson,0,-6,2,0,0,0,0,0
1,1,7,8,5,1,2,2,32.217,Candice Dupree,2,-4,12,9,1,1,0,1
5,0,1,7,4,3,4,4,35.950,Penny Taylor,0,-4,13,1,1,2,1,2
1,2,5,12,3,3,2,1,18.967,Kara Braxton,4,-5,7,9,1,0,0,3
3,0,3,7,2,3,0,0,28.217,Temeka Johnson,1,-5,4,4,1,2,0,2
